id,true_positive,false_positive,false_negative,true_negative,sensitivity,specificity,prevalence,ppv,npv,fpr,threat_score,accuracy,balanced_accuracy,F1,MCC,informedness,markedness,fit_time_mean,fit_time_std,score_time_mean,score_time_std,test_accuracy_mean,test_accuracy_std,train_accuracy_mean,train_accuracy_std,test_recall_mean,test_recall_std,train_recall_mean,train_recall_std,test_precision_mean,test_precision_std,train_precision_mean,train_precision_std,test_roc_auc_mean,test_roc_auc_std,train_roc_auc_mean,train_roc_auc_std,test_f1_mean,test_f1_std,train_f1_mean,train_f1_std
CAE-HRH,263,225,252,708,0.51,0.76,0.35566298,0.5389,0.7375,0.2412,0.3554,0.6706,0.6348,0.5244,0.273,0.27,0.2764,3.742,0.1669,0.0441,0.0001,0.6706,0.0377,0.9922,0.0011,0.5107,0.0588,0.9791,0.0019,0.5397,0.058,0.999,0.0012,0.6765,0.0481,0.9997,0.0001,0.5242,0.0552,0.989,0.0016
CVAE-CS,5,250,7,1186,0.42,0.83,0.00828729,0.0196,0.9941,0.1741,0.0191,0.8225,0.6213,0.0375,0.0577,0.25,0.0137,0.206,0.0075,0.0546,0.0177,0.8225,0.0254,1.0,0.0,0.4,0.2261,1.0,0.0,0.0193,0.0113,1.0,0.0,0.5711,0.1497,1.0,0.0,0.0368,0.0215,1.0,0.0
CVAE-TYW,9,316,53,1070,0.15,0.77,0.04281768,0.0277,0.9528,0.228,0.0238,0.7452,0.4586,0.0465,-0.0402,-0.08,-0.0195,0.2241,0.0123,0.052,0.0145,0.7452,0.0186,1.0,0.0,0.1449,0.1022,1.0,0.0,0.0259,0.0171,1.0,0.0,0.4106,0.0681,1.0,0.0,0.0439,0.0293,1.0,0.0
CVAE-NWPTY,325,389,364,370,0.47,0.49,0.47582873,0.4552,0.5041,0.5125,0.3015,0.48,0.4796,0.4633,-0.0408,-0.04,-0.0407,0.2616,0.0203,0.0442,0.0002,0.48,0.0166,1.0,0.0,0.4717,0.044,1.0,0.0,0.4549,0.017,1.0,0.0,0.4734,0.0112,1.0,0.0,0.4624,0.028,1.0,0.0
CVAE-FT,78,393,161,816,0.33,0.67,0.16505525,0.1656,0.8352,0.3251,0.1234,0.6174,0.5006,0.2197,0.001,0.0,0.0008,0.2254,0.0029,0.0436,0.0004,0.6174,0.0105,1.0,0.0,0.3262,0.0588,1.0,0.0,0.1644,0.0151,1.0,0.0,0.4994,0.0355,1.0,0.0,0.2182,0.0261,1.0,0.0
CVAE-NE,179,417,290,562,0.38,0.57,0.32389503,0.3003,0.6596,0.4259,0.202,0.5117,0.4779,0.3362,-0.0421,-0.05,-0.0401,0.2494,0.0115,0.0425,0.0043,0.5117,0.0373,1.0,0.0,0.3816,0.0728,1.0,0.0,0.2995,0.049,1.0,0.0,0.4645,0.0155,1.0,0.0,0.335,0.0569,1.0,0.0
CVAE-SWF,152,417,241,638,0.39,0.6,0.27140884,0.2671,0.7258,0.3953,0.1877,0.5456,0.4958,0.316,-0.0077,-0.01,-0.0071,0.2441,0.0148,0.0436,0.0001,0.5456,0.0317,1.0,0.0,0.3868,0.0548,1.0,0.0,0.2675,0.0372,1.0,0.0,0.5118,0.0575,1.0,0.0,0.3159,0.0426,1.0,0.0
CVAE-HRD,158,393,258,639,0.38,0.62,0.28729282,0.2868,0.7124,0.3808,0.1953,0.5504,0.4995,0.3268,-0.0009,0.0,-0.0008,0.242,0.0097,0.0438,0.0003,0.5504,0.0097,1.0,0.0,0.3798,0.0286,1.0,0.0,0.2865,0.0156,1.0,0.0,0.4853,0.0156,1.0,0.0,0.3265,0.02,1.0,0.0
CVAE-HRH,219,390,296,543,0.43,0.58,0.35566298,0.3596,0.6472,0.418,0.242,0.5262,0.5036,0.3897,0.007,0.01,0.0068,0.2392,0.0046,0.0437,0.0001,0.5263,0.022,1.0,0.0,0.4252,0.0414,1.0,0.0,0.3595,0.0255,1.0,0.0,0.5151,0.033,1.0,0.0,0.3893,0.0303,1.0,0.0
Pretrained-BigEarth-CS,0,0,12,1436,0.0,1.0,0.00828729,,0.9917,0.0,0.0,0.9917,0.5,0.0,,0.0,,0.8481,0.0221,0.057,0.0231,0.9917,0.0017,0.9978,0.0004,0.0,0.0,0.7289,0.051,0.0,0.0,1.0,0.0,0.9484,0.0264,1.0,0.0,0.0,0.0,0.8422,0.0339
Pretrained-BigEarth-TYW,9,10,53,1376,0.15,0.99,0.04281768,0.4737,0.9629,0.0072,0.125,0.9565,0.569,0.2222,0.2454,0.14,0.4366,1.5182,0.0572,0.0489,0.0086,0.9565,0.006,0.9929,0.0029,0.141,0.1117,0.8352,0.0671,0.42,0.2857,1.0,0.0,0.9096,0.0402,1.0,0.0001,0.2077,0.1596,0.9088,0.0386
Pretrained-BigEarth-NWPTY,495,168,194,591,0.72,0.78,0.47582873,0.7466,0.7529,0.2213,0.5776,0.75,0.7485,0.7322,0.4983,0.5,0.4995,2.2458,0.1641,0.0545,0.0233,0.75,0.0207,0.9549,0.0064,0.7185,0.0296,0.9401,0.0111,0.7467,0.021,0.9643,0.0056,0.8268,0.026,0.993,0.0016,0.7321,0.023,0.952,0.007
Pretrained-BigEarth-FT,32,47,207,1162,0.13,0.96,0.16505525,0.4051,0.8488,0.0389,0.1119,0.8246,0.5475,0.2013,0.1553,0.09,0.2539,2.0777,0.0842,0.0434,0.0003,0.8246,0.0061,0.9368,0.003,0.134,0.0508,0.6182,0.0167,0.3921,0.0768,0.9983,0.0034,0.6486,0.0196,0.9954,0.0005,0.198,0.0651,0.7635,0.0132
Pretrained-BigEarth-NE,236,172,233,807,0.5,0.82,0.32389503,0.5784,0.776,0.1757,0.3682,0.7203,0.6638,0.5382,0.3407,0.32,0.3544,2.2321,0.0493,0.0436,0.0001,0.7203,0.0276,0.9437,0.0038,0.5033,0.033,0.8683,0.0123,0.5822,0.055,0.9538,0.0035,0.7537,0.0363,0.987,0.0013,0.5387,0.0349,0.909,0.0068
Pretrained-BigEarth-SWF,251,117,142,938,0.64,0.89,0.27140884,0.6821,0.8685,0.1109,0.4922,0.8211,0.7639,0.6597,0.5391,0.53,0.5506,2.1637,0.0968,0.0435,0.0001,0.8211,0.0101,0.982,0.0026,0.6388,0.0401,0.9695,0.0125,0.683,0.0237,0.9647,0.0067,0.8972,0.0128,0.9984,0.0001,0.6592,0.0234,0.967,0.005
Pretrained-BigEarth-HRD,84,169,332,863,0.2,0.84,0.28729282,0.332,0.7222,0.1638,0.1436,0.654,0.5191,0.2511,0.0455,0.04,0.0542,2.3694,0.0681,0.0436,0.0001,0.654,0.013,0.9182,0.0029,0.202,0.0195,0.7428,0.0069,0.333,0.0318,0.9642,0.0087,0.5666,0.0117,0.984,0.0007,0.2511,0.0222,0.8391,0.0058
Pretrained-BigEarth-HRH,211,215,304,718,0.41,0.77,0.35566298,0.4953,0.7025,0.2304,0.289,0.6416,0.5896,0.4485,0.1883,0.18,0.1978,2.4228,0.0591,0.0436,0.0001,0.6416,0.0099,0.9323,0.0029,0.4097,0.0344,0.8539,0.0058,0.4952,0.0178,0.9509,0.0097,0.6663,0.0214,0.9823,0.0014,0.4478,0.0252,0.8998,0.004
Pretrained-ImageNet-CS,1,0,11,1436,0.08,1.0,0.00828729,1.0,0.9924,0.0,0.0833,0.9924,0.5417,0.1538,0.2876,0.08,0.9924,1.5588,0.133,0.0436,0.0001,0.9924,0.0014,1.0,0.0,0.0667,0.1333,1.0,0.0,0.2,0.4,1.0,0.0,0.9595,0.0228,1.0,0.0,0.1,0.2,1.0,0.0
Pretrained-ImageNet-TYW,21,21,41,1365,0.34,0.98,0.04281768,0.5,0.9708,0.0152,0.253,0.9572,0.6618,0.4038,0.3903,0.32,0.4708,2.3393,0.3843,0.0456,0.0034,0.9572,0.012,1.0,0.0,0.3449,0.1968,1.0,0.0,0.495,0.1964,1.0,0.0,0.9142,0.0371,1.0,0.0,0.3908,0.1823,1.0,0.0
Pretrained-ImageNet-NWPTY,527,130,162,629,0.76,0.83,0.47582873,0.8021,0.7952,0.1713,0.6435,0.7983,0.7968,0.7831,0.5955,0.59,0.5973,4.496,0.09,0.0436,0.0002,0.7984,0.0185,0.9934,0.0007,0.7649,0.0429,0.9873,0.0026,0.8037,0.0277,0.9989,0.0015,0.8798,0.0057,0.9999,0.0001,0.7827,0.0224,0.9931,0.0007
Pretrained-ImageNet-FT,51,101,188,1108,0.21,0.92,0.16505525,0.3355,0.8549,0.0835,0.15,0.8004,0.5649,0.2609,0.1573,0.13,0.1904,4.7358,0.0483,0.0435,0.0001,0.8004,0.0087,0.9893,0.0017,0.2132,0.0296,0.9372,0.0066,0.3371,0.0214,0.9978,0.0045,0.6905,0.0138,0.9995,0.0002,0.2596,0.0225,0.9666,0.0053
Pretrained-ImageNet-NE,232,191,237,788,0.49,0.8,0.32389503,0.5485,0.7688,0.1951,0.3515,0.7044,0.6498,0.5202,0.3083,0.29,0.3173,5.2364,0.0983,0.0548,0.0242,0.7044,0.0236,0.982,0.002,0.4946,0.0559,0.9638,0.0027,0.5485,0.0363,0.9805,0.0036,0.7524,0.0246,0.9984,0.0005,0.5192,0.0423,0.972,0.0031
Pretrained-ImageNet-SWF,271,123,122,932,0.69,0.88,0.27140884,0.6878,0.8843,0.1166,0.5252,0.8308,0.7865,0.6887,0.5725,0.57,0.5721,3.5884,0.0722,0.0421,0.0001,0.8308,0.0219,0.999,0.0006,0.6897,0.0248,0.9994,0.0013,0.6918,0.0497,0.9968,0.002,0.9067,0.0191,1.0,0.0,0.6896,0.0288,0.9981,0.0012
Pretrained-ImageNet-HRD,119,241,297,791,0.29,0.77,0.28729282,0.3306,0.727,0.2335,0.1811,0.6285,0.5263,0.3067,0.055,0.06,0.0576,5.5209,0.1004,0.0421,0.0002,0.6285,0.0213,0.9758,0.0037,0.2859,0.0431,0.9273,0.0096,0.3313,0.0327,0.9878,0.0043,0.554,0.031,0.9979,0.0005,0.3056,0.0343,0.9566,0.0068
Pretrained-ImageNet-HRH,225,258,290,675,0.44,0.72,0.35566298,0.4658,0.6995,0.2765,0.2911,0.6215,0.5802,0.4509,0.1628,0.16,0.1653,5.5759,0.2042,0.043,0.0012,0.6215,0.0288,0.9727,0.0034,0.4369,0.084,0.9447,0.008,0.462,0.0435,0.9779,0.0037,0.6179,0.0564,0.9973,0.0011,0.4479,0.0642,0.961,0.005
