id,true_positive,false_positive,false_negative,true_negative,sensitivity,specificity,prevalence,ppv,npv,fpr,threat_score,accuracy,balanced_accuracy,F1,MCC,informedness,markedness,fit_time_mean,fit_time_std,score_time_mean,score_time_std,test_accuracy_mean,test_accuracy_std,train_accuracy_mean,train_accuracy_std,test_recall_mean,test_recall_std,train_recall_mean,train_recall_std,test_precision_mean,test_precision_std,train_precision_mean,train_precision_std,test_roc_auc_mean,test_roc_auc_std,train_roc_auc_mean,train_roc_auc_std,test_f1_mean,test_f1_std,train_f1_mean,train_f1_std
CAE-NWPTY,469,202,220,557,0.68,0.73,0.47582873,0.699,0.7169,0.2661,0.5264,0.7086,0.7073,0.6897,0.4152,0.41,0.4159,2.3403,0.0594,0.0442,0.0001,0.7086,0.0263,0.9893,0.0025,0.6807,0.0223,0.984,0.0046,0.7002,0.0345,0.9934,0.0032,0.7798,0.0223,0.9996,0.0002,0.6899,0.0241,0.9887,0.0026
CAE-FT,86,101,153,1108,0.36,0.92,0.16505525,0.4599,0.8787,0.0835,0.2529,0.8246,0.6381,0.4038,0.3058,0.28,0.3386,1.8032,0.084,0.046,0.0032,0.8246,0.019,0.9983,0.0011,0.3598,0.0511,0.9895,0.0066,0.4625,0.0702,1.0,0.0,0.7731,0.0302,1.0,0.0001,0.404,0.057,0.9947,0.0034
CAE-NE,273,198,196,781,0.58,0.8,0.32389503,0.5796,0.7994,0.2022,0.4093,0.7279,0.6899,0.5809,0.3794,0.38,0.379,2.3745,0.0625,0.0458,0.0032,0.7279,0.0249,0.9934,0.0026,0.5822,0.0508,0.9904,0.0049,0.5794,0.0357,0.9894,0.0041,0.7936,0.0317,0.9998,0.0001,0.5804,0.041,0.9899,0.004
CAE-SWF,299,81,94,974,0.76,0.92,0.27140884,0.7868,0.912,0.0768,0.6308,0.8791,0.842,0.7736,0.6914,0.68,0.6988,1.0483,0.0588,0.0458,0.0032,0.8792,0.0142,1.0,0.0,0.761,0.0403,1.0,0.0,0.7881,0.0341,1.0,0.0,0.9389,0.0142,1.0,0.0,0.7735,0.0273,1.0,0.0
CAE-HRD,153,209,263,823,0.37,0.8,0.28729282,0.4227,0.7578,0.2025,0.2448,0.674,0.5826,0.3933,0.1727,0.17,0.1805,2.7196,0.2415,0.0585,0.0214,0.674,0.0314,0.9834,0.0029,0.3679,0.0756,0.9477,0.0077,0.4198,0.0643,0.9943,0.0037,0.6315,0.0498,0.9988,0.0005,0.3917,0.0704,0.9705,0.0052
CAE-HRH,261,218,254,715,0.51,0.77,0.35566298,0.5449,0.7379,0.2337,0.3561,0.674,0.6366,0.5252,0.2779,0.28,0.2828,2.712,0.2632,0.0526,0.0171,0.6741,0.0355,0.9852,0.0006,0.5068,0.0544,0.9621,0.0025,0.5458,0.0564,0.996,0.0012,0.6821,0.0454,0.9984,0.0005,0.525,0.0519,0.9788,0.001
CVAE-CS,5,250,7,1186,0.42,0.83,0.00828729,0.0196,0.9941,0.1741,0.0191,0.8225,0.6213,0.0375,0.0577,0.25,0.0137,0.2007,0.0039,0.044,0.0001,0.8225,0.0235,1.0,0.0,0.4,0.2261,1.0,0.0,0.0193,0.0112,1.0,0.0,0.5721,0.1496,1.0,0.0,0.0367,0.0213,1.0,0.0
CVAE-TYW,9,314,53,1072,0.15,0.77,0.04281768,0.0279,0.9529,0.2266,0.0239,0.7465,0.4593,0.0468,-0.0396,-0.08,-0.0192,0.2083,0.0045,0.0449,0.0001,0.7466,0.017,1.0,0.0,0.1449,0.1022,1.0,0.0,0.0261,0.0173,1.0,0.0,0.4118,0.0681,1.0,0.0,0.0442,0.0296,1.0,0.0
CVAE-NWPTY,327,388,362,371,0.47,0.49,0.47582873,0.4573,0.5061,0.5112,0.3036,0.482,0.4817,0.4658,-0.0366,-0.04,-0.0366,0.2478,0.0032,0.0439,0.0004,0.4821,0.0171,1.0,0.0,0.4746,0.0426,1.0,0.0,0.4571,0.0174,1.0,0.0,0.4733,0.0114,1.0,0.0,0.465,0.0272,1.0,0.0
CVAE-FT,78,393,161,816,0.33,0.67,0.16505525,0.1656,0.8352,0.3251,0.1234,0.6174,0.5006,0.2197,0.001,0.0,0.0008,0.224,0.0011,0.0435,0.0004,0.6174,0.0105,1.0,0.0,0.3262,0.0588,1.0,0.0,0.1644,0.0151,1.0,0.0,0.4994,0.036,1.0,0.0,0.2182,0.0261,1.0,0.0
CVAE-NE,179,417,290,562,0.38,0.57,0.32389503,0.3003,0.6596,0.4259,0.202,0.5117,0.4779,0.3362,-0.0421,-0.05,-0.0401,0.2398,0.0047,0.0443,0.0001,0.5117,0.0373,1.0,0.0,0.3816,0.0728,1.0,0.0,0.2995,0.049,1.0,0.0,0.4647,0.0156,1.0,0.0,0.335,0.0569,1.0,0.0
CVAE-SWF,150,418,243,637,0.38,0.6,0.27140884,0.2641,0.7239,0.3962,0.185,0.5435,0.4927,0.3122,-0.0132,-0.02,-0.012,0.2341,0.0012,0.0459,0.0032,0.5435,0.0336,1.0,0.0,0.3817,0.0578,1.0,0.0,0.2644,0.0398,1.0,0.0,0.5116,0.0573,1.0,0.0,0.312,0.0456,1.0,0.0
CVAE-HRD,157,390,259,642,0.38,0.62,0.28729282,0.287,0.7125,0.3779,0.1948,0.5518,0.4997,0.3261,-0.0005,0.0,-0.0005,0.2502,0.0335,0.0444,0.0003,0.5518,0.0107,1.0,0.0,0.3774,0.0264,1.0,0.0,0.2869,0.0162,1.0,0.0,0.4853,0.0158,1.0,0.0,0.3259,0.0197,1.0,0.0
CVAE-HRH,220,390,295,543,0.43,0.58,0.35566298,0.3607,0.648,0.418,0.2431,0.5269,0.5046,0.3911,0.0089,0.01,0.0087,0.2541,0.0343,0.0443,0.0001,0.5269,0.0216,1.0,0.0,0.4272,0.0393,1.0,0.0,0.3606,0.0245,1.0,0.0,0.515,0.0331,1.0,0.0,0.3908,0.0288,1.0,0.0
Pretrained-BigEarth-CS,0,0,12,1436,0.0,1.0,0.00828729,,0.9917,0.0,0.0,0.9917,0.5,0.0,,0.0,,0.6683,0.0322,0.0462,0.0032,0.9917,0.0017,0.9952,0.0012,0.0,0.0,0.4089,0.169,0.0,0.0,1.0,0.0,0.9492,0.0268,1.0,0.0,0.0,0.0,0.5597,0.1729
Pretrained-BigEarth-TYW,8,7,54,1379,0.13,0.99,0.04281768,0.5333,0.9623,0.0051,0.1159,0.9579,0.562,0.2078,0.2479,0.12,0.4956,1.382,0.1309,0.0569,0.0222,0.9579,0.0064,0.986,0.0021,0.1256,0.1033,0.6735,0.0482,0.4833,0.3432,1.0,0.0,0.9102,0.0391,0.9996,0.0003,0.1977,0.1578,0.8039,0.034
Pretrained-BigEarth-NWPTY,492,163,197,596,0.71,0.79,0.47582873,0.7511,0.7516,0.2148,0.5775,0.7514,0.7497,0.7321,0.501,0.5,0.5027,1.7054,0.1543,0.0508,0.0143,0.7514,0.015,0.9309,0.0048,0.7141,0.0246,0.9053,0.0068,0.7516,0.0189,0.9472,0.0054,0.831,0.0233,0.984,0.0023,0.7321,0.0163,0.9258,0.0052
Pretrained-BigEarth-FT,27,35,212,1174,0.11,0.97,0.16505525,0.4355,0.847,0.0289,0.0985,0.8294,0.542,0.1794,0.1541,0.08,0.2825,1.4146,0.0629,0.0438,0.0005,0.8294,0.0056,0.9075,0.0028,0.1132,0.0457,0.4435,0.0152,0.4156,0.0889,0.9906,0.0047,0.6486,0.0195,0.9855,0.001,0.1765,0.0649,0.6126,0.015
Pretrained-BigEarth-NE,224,164,245,815,0.48,0.83,0.32389503,0.5773,0.7689,0.1675,0.3539,0.7175,0.655,0.5228,0.3276,0.31,0.3462,1.5511,0.0403,0.046,0.0032,0.7175,0.0217,0.9163,0.0029,0.4776,0.0214,0.8113,0.0101,0.5813,0.0467,0.9209,0.0084,0.7586,0.0368,0.9732,0.002,0.5232,0.022,0.8625,0.0053
Pretrained-BigEarth-SWF,243,114,150,941,0.62,0.89,0.27140884,0.6807,0.8625,0.1081,0.4793,0.8177,0.7551,0.648,0.5265,0.51,0.5432,1.7741,0.1956,0.0481,0.0185,0.8177,0.0142,0.9689,0.0042,0.6184,0.0477,0.9408,0.0107,0.6811,0.0283,0.9445,0.0076,0.8982,0.0134,0.9947,0.0004,0.6473,0.0331,0.9426,0.0078
Pretrained-BigEarth-HRD,82,137,334,895,0.2,0.87,0.28729282,0.3744,0.7282,0.1328,0.1483,0.6747,0.5322,0.2583,0.0813,0.07,0.1026,1.6922,0.0225,0.0565,0.0217,0.6747,0.0165,0.8848,0.0042,0.1972,0.0251,0.631,0.0164,0.3773,0.0473,0.9521,0.0092,0.5713,0.0097,0.968,0.0014,0.2581,0.0291,0.7588,0.0114
Pretrained-BigEarth-HRH,209,205,306,728,0.41,0.78,0.35566298,0.5048,0.7041,0.2197,0.2903,0.6471,0.5931,0.4499,0.1972,0.19,0.2089,1.7295,0.0824,0.0438,0.0002,0.6471,0.007,0.899,0.0057,0.4058,0.036,0.7888,0.008,0.5042,0.0131,0.9156,0.011,0.6735,0.0215,0.9648,0.002,0.4492,0.0263,0.8475,0.0084
Pretrained-ImageNet-CS,1,0,11,1436,0.08,1.0,0.00828729,1.0,0.9924,0.0,0.0833,0.9924,0.5417,0.1538,0.2876,0.08,0.9924,1.3598,0.0835,0.0439,0.0002,0.9924,0.0014,1.0,0.0,0.0667,0.1333,1.0,0.0,0.2,0.4,1.0,0.0,0.9593,0.0226,1.0,0.0,0.1,0.2,1.0,0.0
Pretrained-ImageNet-TYW,20,21,42,1365,0.32,0.98,0.04281768,0.4878,0.9701,0.0152,0.241,0.9565,0.6537,0.3883,0.3752,0.3,0.4579,1.8368,0.0968,0.046,0.0032,0.9565,0.0114,0.9991,0.0,0.3282,0.1935,0.9798,0.0002,0.4855,0.1864,1.0,0.0,0.9157,0.0367,1.0,0.0,0.3744,0.1728,0.9898,0.0001
Pretrained-ImageNet-NWPTY,528,128,161,631,0.77,0.83,0.47582873,0.8049,0.7967,0.1686,0.6463,0.8004,0.7988,0.7851,0.5996,0.6,0.6016,3.316,0.1054,0.0436,0.0003,0.8004,0.0098,0.9843,0.0006,0.7663,0.0405,0.9724,0.0021,0.8063,0.0209,0.9944,0.0012,0.8826,0.0068,0.9992,0.0002,0.7847,0.0152,0.9833,0.0007
Pretrained-ImageNet-FT,48,92,191,1117,0.2,0.92,0.16505525,0.3429,0.854,0.0761,0.145,0.8046,0.5624,0.2533,0.1567,0.12,0.1969,3.508,0.0961,0.0438,0.0002,0.8046,0.01,0.9786,0.0022,0.2007,0.0241,0.8776,0.0123,0.3461,0.036,0.9917,0.0047,0.6973,0.014,0.9974,0.0006,0.2527,0.0213,0.9311,0.0075
Pretrained-ImageNet-NE,237,183,232,796,0.51,0.81,0.32389503,0.5643,0.7743,0.1869,0.3635,0.7134,0.6592,0.5332,0.3283,0.32,0.3386,3.767,0.0144,0.0439,0.0001,0.7134,0.024,0.9669,0.002,0.5053,0.0565,0.928,0.0081,0.5639,0.0374,0.9683,0.0025,0.7598,0.024,0.9947,0.0008,0.5322,0.0441,0.9477,0.0034
Pretrained-ImageNet-SWF,271,124,122,931,0.69,0.88,0.27140884,0.6861,0.8841,0.1175,0.5242,0.8301,0.786,0.6878,0.5711,0.57,0.5702,2.9892,0.05,0.0438,0.0004,0.8301,0.0212,0.995,0.0014,0.6897,0.0248,0.9955,0.0025,0.6898,0.0478,0.9861,0.0025,0.9086,0.0191,0.9999,0.0001,0.6886,0.0278,0.9908,0.0025
Pretrained-ImageNet-HRD,116,217,300,815,0.28,0.79,0.28729282,0.3483,0.7309,0.2103,0.1833,0.643,0.5343,0.3097,0.0737,0.07,0.0792,4.1067,0.0764,0.0441,0.0002,0.643,0.0208,0.9513,0.0029,0.2787,0.0524,0.8564,0.0108,0.3485,0.0387,0.9708,0.0076,0.5593,0.0307,0.9932,0.0009,0.3079,0.0427,0.9099,0.0057
Pretrained-ImageNet-HRH,226,246,289,687,0.44,0.74,0.35566298,0.4788,0.7039,0.2637,0.297,0.6305,0.5876,0.458,0.1789,0.18,0.1827,4.0787,0.0628,0.039,0.0098,0.6305,0.0299,0.9539,0.0073,0.4388,0.0818,0.9083,0.0133,0.4753,0.0445,0.96,0.0117,0.6243,0.0567,0.9915,0.0021,0.4552,0.0638,0.9334,0.0107
