id,true_positive,false_positive,false_negative,true_negative,sensitivity,specificity,prevalence,ppv,npv,fpr,threat_score,accuracy,balanced_accuracy,F1,MCC,informedness,markedness,fit_time_mean,fit_time_std,score_time_mean,score_time_std,test_accuracy_mean,test_accuracy_std,train_accuracy_mean,train_accuracy_std,test_recall_mean,test_recall_std,train_recall_mean,train_recall_std,test_precision_mean,test_precision_std,train_precision_mean,train_precision_std,test_roc_auc_mean,test_roc_auc_std,train_roc_auc_mean,train_roc_auc_std,test_f1_mean,test_f1_std,train_f1_mean,train_f1_std
PCA-CS,0,1,12,1435,0.0,1.0,0.00828729,0.0,0.9917,0.0007,0.0,0.991,0.4997,0.0,-0.0024,0.0,-0.0083,0.6183,0.1012,0.0612,0.0213,0.991,0.0017,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.6695,0.0373,1.0,0.0,0.0,0.0,1.0,0.0
PCA-TYW,24,29,38,1357,0.39,0.98,0.04281768,0.4528,0.9728,0.0209,0.2637,0.9537,0.6831,0.4174,0.3948,0.37,0.4256,0.5277,0.1549,0.0444,0.0004,0.9537,0.0104,1.0,0.0,0.3859,0.1451,1.0,0.0,0.4668,0.1317,1.0,0.0,0.9221,0.0242,1.0,0.0,0.4112,0.1244,1.0,0.0
PCA-NWPTY,487,169,202,590,0.71,0.78,0.47582873,0.7424,0.7449,0.2227,0.5676,0.7438,0.7421,0.7242,0.4857,0.49,0.4873,1.1255,0.286,0.0437,0.0001,0.7438,0.0263,0.9993,0.0006,0.7069,0.0387,0.9985,0.0014,0.7441,0.0356,1.0,0.0,0.8044,0.0148,1.0,0.0,0.7241,0.0278,0.9993,0.0007
PCA-FT,86,107,153,1102,0.36,0.91,0.16505525,0.4456,0.8781,0.0885,0.2486,0.8204,0.6357,0.3981,0.2964,0.27,0.3237,0.9597,0.1535,0.0436,0.0002,0.8205,0.0186,1.0,0.0,0.3598,0.0544,1.0,0.0,0.4472,0.0672,1.0,0.0,0.7567,0.0252,1.0,0.0,0.3981,0.0584,1.0,0.0
PCA-NE,273,212,196,767,0.58,0.78,0.32389503,0.5629,0.7965,0.2165,0.4009,0.7182,0.6828,0.5723,0.3624,0.36,0.3594,2.2761,0.7604,0.0437,0.0001,0.7182,0.0349,1.0,0.0,0.5821,0.0667,1.0,0.0,0.5641,0.0513,1.0,0.0,0.7729,0.0403,1.0,0.0,0.5717,0.0528,1.0,0.0
PCA-SWF,311,121,82,934,0.79,0.89,0.27140884,0.7199,0.9193,0.1147,0.6051,0.8598,0.8383,0.7539,0.6577,0.68,0.6392,0.4547,0.1218,0.0512,0.0161,0.8598,0.0292,1.0,0.0,0.7915,0.063,1.0,0.0,0.721,0.0513,1.0,0.0,0.9252,0.0226,1.0,0.0,0.7539,0.051,1.0,0.0
PCA-HRD,170,213,246,819,0.41,0.79,0.28729282,0.4439,0.769,0.2064,0.2703,0.683,0.6011,0.4255,0.2075,0.2,0.2129,0.5223,0.0107,0.0512,0.0107,0.683,0.0193,1.0,0.0,0.4087,0.0739,1.0,0.0,0.4413,0.0391,1.0,0.0,0.6382,0.0361,1.0,0.0,0.4232,0.055,1.0,0.0
PCA-HRH,239,234,276,699,0.46,0.75,0.35566298,0.5053,0.7169,0.2508,0.3191,0.6478,0.6066,0.4838,0.2177,0.21,0.2222,0.9283,0.1959,0.0441,0.0006,0.6478,0.0292,0.9998,0.0003,0.4641,0.0469,0.9995,0.001,0.5057,0.0439,1.0,0.0,0.6602,0.0158,1.0,0.0,0.4835,0.0429,0.9998,0.0005
CAE-CS,0,2,12,1434,0.0,1.0,0.00828729,0.0,0.9917,0.0014,0.0,0.9903,0.4993,0.0,-0.0034,0.0,-0.0083,0.7212,0.0463,0.044,0.0004,0.9903,0.0026,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.899,0.0574,1.0,0.0,0.0,0.0,1.0,0.0
CAE-TYW,23,12,39,1374,0.37,0.99,0.04281768,0.6571,0.9724,0.0087,0.3108,0.9648,0.6812,0.4742,0.4776,0.36,0.6295,0.5269,0.0352,0.0465,0.003,0.9648,0.0051,1.0,0.0,0.3705,0.1417,1.0,0.0,0.6376,0.0902,1.0,0.0,0.924,0.0338,1.0,0.0,0.46,0.1347,1.0,0.0
