id,true_positive,false_positive,false_negative,true_negative,sensitivity,specificity,prevalence,ppv,npv,fpr,threat_score,accuracy,balanced_accuracy,F1,MCC,informedness,markedness,fit_time_mean,fit_time_std,score_time_mean,score_time_std,test_accuracy_mean,test_accuracy_std,train_accuracy_mean,train_accuracy_std,test_recall_mean,test_recall_std,train_recall_mean,train_recall_std,test_precision_mean,test_precision_std,train_precision_mean,train_precision_std,test_roc_auc_mean,test_roc_auc_std,train_roc_auc_mean,train_roc_auc_std,test_f1_mean,test_f1_std,train_f1_mean,train_f1_std,feature,event
CAE-HRD,200,298,216,734,0.48,0.71,0.28729282,0.4016,0.7726,0.2888,0.2801,0.645,0.596,0.4376,0.1829,0.19,0.1742,1.003,0.0105,0.0432,0.0024,0.645,0.0347,0.9146,0.0046,0.4807,0.0982,0.9538,0.0058,0.4004,0.0533,0.7917,0.009,0.6498,0.0522,0.9769,0.0012,0.4349,0.0668,0.8652,0.0068,CAE,HRD
CAE-HRH,303,248,212,685,0.59,0.73,0.35566298,0.5499,0.7637,0.2658,0.3971,0.6823,0.6613,0.5685,0.318,0.32,0.3136,0.9541,0.0178,0.0422,0.0001,0.6824,0.0335,0.9208,0.0036,0.5882,0.0413,0.9243,0.0064,0.5528,0.0451,0.8629,0.0051,0.7152,0.0433,0.9746,0.0014,0.5688,0.0356,0.8925,0.0049,CAE,HRH
CVAE-NWPTY,327,401,362,358,0.47,0.47,0.47582873,0.4492,0.4972,0.5283,0.3,0.4731,0.4731,0.4615,-0.0537,-0.06,-0.0536,0.2443,0.0039,0.0423,0.0001,0.4731,0.0433,1.0,0.0,0.4748,0.0604,1.0,0.0,0.4505,0.0409,1.0,0.0,0.4807,0.0478,1.0,0.0,0.4609,0.0424,1.0,0.0,CVAE,NWPTY
CVAE-FT,83,395,156,814,0.35,0.67,0.16505525,0.1736,0.8392,0.3267,0.1309,0.6195,0.5103,0.2315,0.0162,0.02,0.0128,0.213,0.0026,0.0425,0.0001,0.6195,0.0316,1.0,0.0,0.3473,0.0833,1.0,0.0,0.1733,0.031,1.0,0.0,0.5026,0.0383,1.0,0.0,0.2301,0.0433,1.0,0.0,CVAE,FT
CVAE-NE,164,425,305,554,0.35,0.57,0.32389503,0.2784,0.6449,0.4341,0.1834,0.4959,0.4578,0.31,-0.0804,-0.08,-0.0767,0.2348,0.0019,0.0423,0.0003,0.4958,0.0449,1.0,0.0,0.3496,0.0551,1.0,0.0,0.2798,0.0487,1.0,0.0,0.455,0.0488,1.0,0.0,0.3103,0.0503,1.0,0.0,CVAE,NE
CVAE-SWF,148,440,245,615,0.38,0.58,0.27140884,0.2517,0.7151,0.4171,0.1777,0.5269,0.4798,0.3017,-0.0366,-0.04,-0.0332,0.225,0.0041,0.0423,0.0,0.5269,0.0496,1.0,0.0,0.3768,0.0582,1.0,0.0,0.2537,0.0437,1.0,0.0,0.4941,0.0578,1.0,0.0,0.3027,0.0484,1.0,0.0,CVAE,SWF
CVAE-HRD,167,422,249,610,0.4,0.59,0.28729282,0.2835,0.7101,0.4089,0.1993,0.5366,0.4963,0.3323,-0.0069,-0.01,-0.0064,0.2254,0.0043,0.0427,0.0004,0.5366,0.028,1.0,0.0,0.4013,0.0546,1.0,0.0,0.2833,0.0297,1.0,0.0,0.5001,0.0318,1.0,0.0,0.3316,0.0372,1.0,0.0,CVAE,HRD
CVAE-HRH,234,386,281,547,0.45,0.59,0.35566298,0.3774,0.6606,0.4137,0.2597,0.5394,0.5203,0.4123,0.0393,0.04,0.038,0.2285,0.0045,0.0423,0.0001,0.5394,0.0265,1.0,0.0,0.4544,0.0642,1.0,0.0,0.3766,0.034,1.0,0.0,0.5339,0.04,1.0,0.0,0.4111,0.0443,1.0,0.0,CVAE,HRH
Pretrained-BigEarth-NWPTY,499,155,190,604,0.72,0.8,0.47582873,0.763,0.7607,0.2042,0.5912,0.7617,0.76,0.7431,0.5219,0.52,0.5237,0.4785,0.0073,0.0423,0.0001,0.7618,0.0344,0.8415,0.0055,0.7243,0.0681,0.8058,0.0075,0.7638,0.0329,0.8529,0.0058,0.8419,0.0368,0.9278,0.0019,0.7419,0.0423,0.8287,0.0061,Pretrained-BigEarth,NWPTY
Pretrained-BigEarth-FT,113,304,126,905,0.47,0.75,0.16505525,0.271,0.8778,0.2514,0.2081,0.703,0.6107,0.3445,0.1815,0.22,0.1488,0.9467,0.027,0.0425,0.0001,0.703,0.0307,0.8419,0.0051,0.4719,0.0945,0.8977,0.0091,0.2717,0.0484,0.5122,0.0089,0.654,0.0704,0.9343,0.0013,0.3432,0.0587,0.6522,0.0083,Pretrained-BigEarth,FT
Pretrained-BigEarth-NE,331,277,138,702,0.71,0.72,0.32389503,0.5444,0.8357,0.2829,0.4437,0.7134,0.7114,0.6147,0.4009,0.43,0.3801,0.6015,0.0115,0.0424,0.0002,0.7134,0.0336,0.8024,0.0042,0.7058,0.0524,0.8439,0.0066,0.546,0.0415,0.6503,0.0061,0.769,0.0464,0.8946,0.0024,0.6148,0.0408,0.7345,0.005,Pretrained-BigEarth,NE
Pretrained-BigEarth-SWF,344,216,49,839,0.88,0.8,0.27140884,0.6143,0.9448,0.2047,0.5649,0.817,0.8353,0.7219,0.6123,0.68,0.5591,0.6373,0.0156,0.0423,0.0001,0.817,0.0267,0.8677,0.0024,0.8754,0.0609,0.9706,0.0034,0.6174,0.0412,0.6794,0.0045,0.8957,0.0225,0.9561,0.0012,0.7222,0.0347,0.7993,0.0027,Pretrained-BigEarth,SWF
Pretrained-BigEarth-HRD,203,355,213,677,0.49,0.66,0.28729282,0.3638,0.7607,0.344,0.2633,0.6077,0.572,0.4168,0.1339,0.15,0.1245,0.6763,0.0182,0.0424,0.0002,0.6077,0.0487,0.7902,0.005,0.4878,0.0738,0.8181,0.0073,0.3655,0.0572,0.5988,0.0069,0.5903,0.0607,0.8807,0.0026,0.417,0.062,0.6914,0.0065,Pretrained-BigEarth,HRD
Pretrained-BigEarth-HRH,320,312,195,621,0.62,0.67,0.35566298,0.5063,0.761,0.3344,0.3869,0.6499,0.6435,0.558,0.277,0.29,0.2673,0.5753,0.0097,0.0424,0.0001,0.6499,0.0453,0.7784,0.0056,0.6214,0.0473,0.8134,0.0089,0.5094,0.0547,0.6508,0.0067,0.698,0.0455,0.8683,0.0022,0.5589,0.0472,0.723,0.0069,Pretrained-BigEarth,HRH
Pretrained-ImageNet-NWPTY,541,109,148,650,0.79,0.86,0.47582873,0.8323,0.8145,0.1436,0.6779,0.8225,0.8208,0.8081,0.6442,0.65,0.6468,1.0621,0.0113,0.0429,0.0019,0.8225,0.0257,0.9213,0.0017,0.7853,0.0551,0.8865,0.0045,0.835,0.0383,0.9448,0.003,0.8982,0.0237,0.9797,0.0009,0.8075,0.0303,0.9147,0.0019,Pretrained-ImageNet,NWPTY
Pretrained-ImageNet-FT,123,264,116,945,0.51,0.78,0.16505525,0.3178,0.8907,0.2184,0.2445,0.7376,0.6481,0.393,0.2485,0.29,0.2085,1.9981,0.0179,0.0423,0.0001,0.7376,0.0313,0.8938,0.005,0.5145,0.0633,0.9661,0.0081,0.3217,0.0441,0.6133,0.011,0.7237,0.0447,0.9739,0.0017,0.3937,0.042,0.7502,0.0099,Pretrained-ImageNet,FT
Pretrained-ImageNet-NE,310,250,159,729,0.66,0.74,0.32389503,0.5536,0.8209,0.2554,0.4312,0.7175,0.7028,0.6025,0.3898,0.4,0.3745,1.3584,0.0289,0.0423,0.0003,0.7175,0.0312,0.8745,0.0039,0.6611,0.0634,0.9171,0.0044,0.5582,0.0468,0.7509,0.0079,0.7848,0.0431,0.9538,0.0021,0.6024,0.0339,0.8257,0.0044,Pretrained-ImageNet,NE
Pretrained-ImageNet-SWF,325,161,68,894,0.83,0.85,0.27140884,0.6687,0.9293,0.1526,0.5866,0.8419,0.8372,0.7395,0.6351,0.68,0.598,1.2753,0.008,0.0423,0.0001,0.8418,0.0344,0.9341,0.0027,0.8272,0.0535,0.9952,0.0025,0.6733,0.0632,0.807,0.0063,0.9146,0.0215,0.989,0.0005,0.7406,0.0494,0.8913,0.0041,Pretrained-ImageNet,SWF
Pretrained-ImageNet-HRD,175,334,241,698,0.42,0.68,0.28729282,0.3438,0.7433,0.3236,0.2333,0.6029,0.5485,0.3784,0.092,0.1,0.0871,1.6066,0.0142,0.0422,0.0002,0.6029,0.0379,0.851,0.0053,0.4207,0.0703,0.903,0.0063,0.3446,0.05,0.6817,0.0084,0.5931,0.0434,0.9387,0.0017,0.3774,0.0548,0.7769,0.0071,Pretrained-ImageNet,HRD
Pretrained-ImageNet-HRH,298,319,217,614,0.58,0.66,0.35566298,0.483,0.7389,0.3419,0.3573,0.6298,0.6184,0.5265,0.2292,0.24,0.2219,1.3963,0.0285,0.0424,0.0002,0.6298,0.0415,0.8531,0.0044,0.5785,0.0868,0.8794,0.0065,0.4829,0.0519,0.7504,0.0063,0.659,0.0595,0.9338,0.0025,0.525,0.0603,0.8098,0.0055,Pretrained-ImageNet,HRH
