id,true_positive,false_positive,false_negative,true_negative,sensitivity,specificity,prevalence,ppv,npv,fpr,threat_score,accuracy,balanced_accuracy,F1,MCC,informedness,markedness,fit_time_mean,fit_time_std,score_time_mean,score_time_std,test_accuracy_mean,test_accuracy_std,train_accuracy_mean,train_accuracy_std,test_recall_mean,test_recall_std,train_recall_mean,train_recall_std,test_precision_mean,test_precision_std,train_precision_mean,train_precision_std,test_roc_auc_mean,test_roc_auc_std,train_roc_auc_mean,train_roc_auc_std,test_f1_mean,test_f1_std,train_f1_mean,train_f1_std,feature,event
PCA-NWPTY,494,161,195,598,0.72,0.79,0.47582873,0.7542,0.7541,0.2121,0.5812,0.7541,0.7524,0.7351,0.5066,0.51,0.5083,0.7427,0.0877,0.0422,0.0004,0.7542,0.0264,0.9852,0.0024,0.717,0.0439,0.9753,0.004,0.7567,0.0408,0.9934,0.0018,0.8217,0.0247,0.9984,0.0002,0.735,0.0287,0.9843,0.0025,PCA,NWPTY
PCA-FT,126,191,113,1018,0.53,0.84,0.16505525,0.3975,0.9001,0.158,0.293,0.7901,0.6846,0.4532,0.3315,0.37,0.2976,0.7268,0.048,0.0425,0.0002,0.7901,0.0344,0.9794,0.0015,0.5272,0.059,1.0,0.0,0.4052,0.0688,0.8889,0.0074,0.7785,0.0427,0.9998,0.0001,0.4555,0.0576,0.9412,0.0041,PCA,FT
PCA-NE,319,235,150,744,0.68,0.76,0.32389503,0.5758,0.8322,0.24,0.4531,0.7341,0.7201,0.6237,0.4238,0.44,0.408,1.2813,0.2655,0.0423,0.0001,0.7341,0.0358,0.9596,0.0016,0.6803,0.0646,1.0,0.0,0.5793,0.0536,0.8892,0.004,0.795,0.0502,0.998,0.0003,0.6237,0.045,0.9414,0.0022,PCA,NE
PCA-SWF,337,145,56,910,0.86,0.86,0.27140884,0.6992,0.942,0.1374,0.6264,0.8612,0.86,0.7703,0.6795,0.72,0.6412,0.3084,0.0449,0.0425,0.0001,0.8612,0.031,0.9961,0.0011,0.8574,0.0628,1.0,0.0,0.7015,0.0524,0.9858,0.0038,0.9314,0.0248,1.0,0.0,0.7704,0.0482,0.9928,0.0019,PCA,SWF
PCA-HRD,202,273,214,759,0.49,0.74,0.28729282,0.4253,0.7801,0.2645,0.2932,0.6637,0.6105,0.4534,0.213,0.23,0.2054,0.3346,0.0105,0.0423,0.0001,0.6637,0.0268,0.9805,0.0017,0.4858,0.0824,0.9971,0.0022,0.4239,0.0479,0.9389,0.0049,0.6492,0.0462,0.9988,0.0003,0.4513,0.0596,0.9671,0.0028,PCA,HRD
PCA-HRH,270,249,245,684,0.52,0.73,0.35566298,0.5202,0.7363,0.2669,0.3534,0.6588,0.6287,0.5222,0.2569,0.25,0.2565,0.6835,0.123,0.0425,0.0001,0.6588,0.039,0.982,0.0028,0.524,0.0579,0.9782,0.002,0.5206,0.0553,0.9715,0.007,0.6852,0.0574,0.9985,0.0002,0.522,0.0548,0.9749,0.0039,PCA,HRH
CAE-NWPTY,483,178,206,581,0.7,0.77,0.47582873,0.7307,0.7382,0.2345,0.5571,0.7348,0.7332,0.7156,0.4677,0.47,0.4689,0.7875,0.0188,0.0422,0.0002,0.7348,0.0346,0.9187,0.006,0.7011,0.0428,0.896,0.0078,0.732,0.042,0.9307,0.0075,0.8147,0.0292,0.9808,0.0016,0.7155,0.0367,0.913,0.0065,CAE,NWPTY
CAE-FT,131,196,108,1013,0.55,0.84,0.16505525,0.4006,0.9037,0.1621,0.3011,0.7901,0.693,0.4629,0.3427,0.39,0.3043,1.126,0.0668,0.0423,0.0001,0.7901,0.0261,0.9485,0.0032,0.5486,0.0766,0.9972,0.0023,0.4032,0.0551,0.7635,0.0112,0.7861,0.0379,0.9962,0.0007,0.4631,0.0571,0.8648,0.0074,CAE,FT
CAE-NE,327,250,142,729,0.7,0.74,0.32389503,0.5667,0.837,0.2554,0.4548,0.7293,0.7209,0.6252,0.4223,0.44,0.4037,0.917,0.0249,0.0421,0.0001,0.7292,0.0308,0.9207,0.0025,0.6974,0.075,0.9813,0.0044,0.5667,0.0398,0.8126,0.0039,0.8094,0.0422,0.9813,0.0011,0.6241,0.0491,0.889,0.0034,CAE,NE
CAE-SWF,328,104,65,951,0.83,0.9,0.27140884,0.7593,0.936,0.0986,0.66,0.8833,0.868,0.7952,0.7154,0.73,0.6953,0.6456,0.0219,0.0423,0.0001,0.8833,0.0214,0.9824,0.0015,0.8346,0.049,0.998,0.0013,0.7621,0.052,0.9406,0.0045,0.9444,0.0161,0.9995,0.0002,0.7952,0.0371,0.9685,0.0026,CAE,SWF
