id,true_positive,false_positive,false_negative,true_negative,sensitivity,specificity,prevalence,ppv,npv,fpr,threat_score,accuracy,balanced_accuracy,F1,MCC,informedness,markedness,fit_time_mean,fit_time_std,score_time_mean,score_time_std,test_accuracy_mean,test_accuracy_std,train_accuracy_mean,train_accuracy_std,test_recall_mean,test_recall_std,train_recall_mean,train_recall_std,test_precision_mean,test_precision_std,train_precision_mean,train_precision_std,test_roc_auc_mean,test_roc_auc_std,train_roc_auc_mean,train_roc_auc_std,test_f1_mean,test_f1_std,train_f1_mean,train_f1_std,feature,event
CVAE-SWF,79,245,314,810,0.2,0.77,0.27140884,0.2438,0.7206,0.2322,0.1238,0.614,0.4844,0.2204,-0.0333,-0.03,-0.0356,0.126,0.0045,0.0614,0.0001,0.6139,0.0368,1.0,0.0,0.2013,0.043,1.0,0.0,0.2469,0.0492,1.0,0.0,0.492,0.0628,1.0,0.0,0.2203,0.0425,1.0,0.0,CVAE,SWF
CVAE-HRD,98,252,318,780,0.24,0.76,0.28729282,0.28,0.7104,0.2442,0.1467,0.6064,0.4957,0.2559,-0.0091,0.0,-0.0096,0.1233,0.0054,0.0614,0.0002,0.6063,0.0235,1.0,0.0,0.2354,0.0354,1.0,0.0,0.2806,0.0377,1.0,0.0,0.5034,0.0371,1.0,0.0,0.2553,0.0347,1.0,0.0,CVAE,HRD
CVAE-HRH,180,304,335,629,0.35,0.67,0.35566298,0.3719,0.6525,0.3258,0.2198,0.5587,0.5118,0.3604,0.024,0.02,0.0244,0.1251,0.0034,0.0614,0.0002,0.5587,0.0268,1.0,0.0,0.3495,0.0581,1.0,0.0,0.3708,0.0462,1.0,0.0,0.5316,0.0408,1.0,0.0,0.3591,0.0502,1.0,0.0,CVAE,HRH
Pretrained-BigEarth-NWPTY,500,162,189,597,0.73,0.79,0.47582873,0.7553,0.7595,0.2134,0.5875,0.7576,0.7561,0.7402,0.5135,0.52,0.5148,0.7654,0.1295,0.0614,0.0002,0.7576,0.0446,0.9517,0.0039,0.7257,0.0644,0.9355,0.0063,0.7554,0.0452,0.962,0.0041,0.8339,0.0373,0.9913,0.0009,0.7395,0.0512,0.9486,0.0042,Pretrained-BigEarth,NWPTY
Pretrained-BigEarth-FT,36,49,203,1160,0.15,0.96,0.16505525,0.4235,0.8511,0.0405,0.125,0.826,0.555,0.2222,0.1739,0.11,0.2746,0.8248,0.0874,0.0613,0.0001,0.826,0.0137,0.9335,0.0029,0.1502,0.053,0.6002,0.0183,0.4309,0.1121,0.9955,0.005,0.6527,0.0642,0.9938,0.0006,0.2182,0.0666,0.7487,0.0139,Pretrained-BigEarth,FT
Pretrained-BigEarth-NE,236,168,233,811,0.5,0.83,0.32389503,0.5842,0.7768,0.1716,0.3705,0.7231,0.6658,0.5407,0.346,0.33,0.361,0.7158,0.0765,0.0613,0.0001,0.723,0.0448,0.9377,0.0046,0.5032,0.053,0.8588,0.0128,0.5905,0.0883,0.9438,0.0061,0.7562,0.0446,0.9838,0.0013,0.5419,0.0622,0.8992,0.008,Pretrained-BigEarth,NE
Pretrained-BigEarth-SWF,254,118,139,937,0.65,0.89,0.27140884,0.6828,0.8708,0.1118,0.4971,0.8225,0.7672,0.6641,0.544,0.54,0.5536,0.7324,0.0449,0.0613,0.0001,0.8225,0.0293,0.9805,0.0021,0.646,0.1012,0.9658,0.0082,0.684,0.055,0.9626,0.0044,0.9,0.0247,0.9978,0.0003,0.6604,0.0716,0.9641,0.0039,Pretrained-BigEarth,SWF
Pretrained-BigEarth-HRD,91,155,325,877,0.22,0.85,0.28729282,0.3699,0.7296,0.1502,0.1594,0.6685,0.5343,0.2749,0.0826,0.07,0.0995,0.8979,0.1125,0.0613,0.0002,0.6685,0.0192,0.9088,0.0051,0.2188,0.0362,0.7166,0.0177,0.3714,0.0519,0.9549,0.007,0.5686,0.0474,0.9785,0.0012,0.2741,0.0391,0.8186,0.0119,Pretrained-BigEarth,HRD
Pretrained-BigEarth-HRH,208,208,307,725,0.4,0.78,0.35566298,0.5,0.7025,0.2229,0.2877,0.6443,0.5905,0.4468,0.1914,0.18,0.2025,0.6917,0.1622,0.0614,0.0001,0.6443,0.0334,0.9241,0.0036,0.4038,0.0583,0.8395,0.0075,0.5058,0.0726,0.9408,0.0061,0.6684,0.04,0.9782,0.0013,0.4459,0.049,0.8872,0.0056,Pretrained-BigEarth,HRH
Pretrained-ImageNet-NWPTY,533,132,156,627,0.77,0.83,0.47582873,0.8015,0.8008,0.1739,0.6492,0.8011,0.7998,0.7873,0.601,0.6,0.6023,1.4988,0.0929,0.0622,0.0001,0.8011,0.0245,0.9914,0.0016,0.7736,0.0573,0.9845,0.0024,0.8036,0.0344,0.9974,0.0017,0.8892,0.0224,0.9998,0.0001,0.7865,0.0302,0.9909,0.0017,Pretrained-ImageNet,NWPTY
Pretrained-ImageNet-FT,57,115,182,1094,0.24,0.9,0.16505525,0.3314,0.8574,0.0951,0.161,0.7949,0.5717,0.2774,0.1645,0.14,0.1888,1.5898,0.2648,0.0622,0.0001,0.7949,0.0294,0.9863,0.002,0.2384,0.0587,0.9224,0.0108,0.347,0.1171,0.994,0.0049,0.6983,0.056,0.9989,0.0003,0.2787,0.0704,0.9568,0.0065,Pretrained-ImageNet,FT
Pretrained-ImageNet-NE,235,191,234,788,0.5,0.8,0.32389503,0.5516,0.771,0.1951,0.3561,0.7065,0.653,0.5251,0.3142,0.3,0.3226,1.7457,0.0853,0.0622,0.0002,0.7064,0.0435,0.9772,0.0022,0.5012,0.0661,0.9519,0.0045,0.5566,0.0762,0.9771,0.0027,0.7465,0.0487,0.9974,0.0003,0.5253,0.0624,0.9644,0.0034,Pretrained-ImageNet,NE
Pretrained-ImageNet-SWF,271,116,122,939,0.69,0.89,0.27140884,0.7003,0.885,0.11,0.5324,0.8356,0.7898,0.6949,0.5824,0.58,0.5853,1.3874,0.1161,0.0623,0.0002,0.8356,0.0318,0.9987,0.0005,0.6897,0.0705,0.9986,0.0014,0.7042,0.0694,0.9966,0.0011,0.9068,0.0262,1.0,0.0,0.6946,0.0581,0.9976,0.0009,Pretrained-ImageNet,SWF
Pretrained-ImageNet-HRD,126,225,290,807,0.3,0.78,0.28729282,0.359,0.7356,0.218,0.1966,0.6443,0.5424,0.3286,0.0896,0.08,0.0946,2.07,0.0755,0.0622,0.0002,0.6444,0.0365,0.9657,0.0036,0.303,0.0529,0.899,0.0098,0.3622,0.067,0.9799,0.0056,0.5629,0.0456,0.9958,0.0007,0.3288,0.0559,0.9377,0.0067,Pretrained-ImageNet,HRD
Pretrained-ImageNet-HRH,223,247,292,686,0.43,0.74,0.35566298,0.4745,0.7014,0.2647,0.2927,0.6278,0.5841,0.4528,0.172,0.17,0.1759,1.9666,0.1562,0.0622,0.0002,0.6278,0.0408,0.9658,0.0024,0.4329,0.0844,0.9333,0.0058,0.4746,0.0628,0.9693,0.005,0.6269,0.0606,0.9957,0.0007,0.4505,0.068,0.951,0.0036,Pretrained-ImageNet,HRH
