id,true_positive,false_positive,false_negative,true_negative,sensitivity,specificity,prevalence,ppv,npv,fpr,threat_score,accuracy,balanced_accuracy,F1,MCC,informedness,markedness,fit_time_mean,fit_time_std,score_time_mean,score_time_std,test_accuracy_mean,test_accuracy_std,train_accuracy_mean,train_accuracy_std,test_recall_mean,test_recall_std,train_recall_mean,train_recall_std,test_precision_mean,test_precision_std,train_precision_mean,train_precision_std,test_roc_auc_mean,test_roc_auc_std,train_roc_auc_mean,train_roc_auc_std,test_f1_mean,test_f1_std,train_f1_mean,train_f1_std,feature,event
CAE-HRH,301,245,214,688,0.58,0.74,0.35566298,0.5513,0.7627,0.2626,0.3961,0.683,0.6609,0.5674,0.3179,0.32,0.314,0.7741,0.0401,0.0622,0.0001,0.683,0.0293,0.9223,0.0044,0.5843,0.0437,0.9234,0.0072,0.5533,0.0423,0.8668,0.0071,0.7144,0.0457,0.9745,0.0013,0.5673,0.0354,0.8942,0.006,CAE,HRH
CVAE-NWPTY,313,392,376,367,0.45,0.48,0.47582873,0.444,0.4939,0.5165,0.2895,0.4696,0.4689,0.4491,-0.0621,-0.07,-0.0621,0.1104,0.0019,0.0621,0.0002,0.4697,0.0402,1.0,0.0,0.4545,0.0547,1.0,0.0,0.4456,0.0384,1.0,0.0,0.4803,0.0482,1.0,0.0,0.4485,0.0386,1.0,0.0,CVAE,NWPTY
CVAE-FT,31,159,208,1050,0.13,0.87,0.16505525,0.1632,0.8347,0.1315,0.0779,0.7465,0.4991,0.1445,-0.002,0.0,-0.0021,0.1149,0.0039,0.0621,0.0002,0.7466,0.0266,1.0,0.0,0.1297,0.0863,1.0,0.0,0.1565,0.1009,1.0,0.0,0.4904,0.0353,1.0,0.0,0.1411,0.0921,1.0,0.0,CVAE,FT
CVAE-NE,128,329,341,650,0.27,0.66,0.32389503,0.2801,0.6559,0.3361,0.1604,0.5373,0.4684,0.2765,-0.0636,-0.07,-0.064,0.1146,0.0031,0.0621,0.0002,0.5373,0.035,1.0,0.0,0.2729,0.05,1.0,0.0,0.2813,0.0403,1.0,0.0,0.4544,0.0489,1.0,0.0,0.2756,0.0409,1.0,0.0,CVAE,NE
CVAE-SWF,93,271,300,784,0.24,0.74,0.27140884,0.2555,0.7232,0.2569,0.1401,0.6057,0.4899,0.2457,-0.0207,-0.02,-0.0213,0.1093,0.0031,0.0621,0.0003,0.6057,0.0326,1.0,0.0,0.2369,0.0375,1.0,0.0,0.2579,0.0351,1.0,0.0,0.4915,0.0607,1.0,0.0,0.2455,0.0317,1.0,0.0,CVAE,SWF
CVAE-HRD,113,284,303,748,0.27,0.72,0.28729282,0.2846,0.7117,0.2752,0.1614,0.5946,0.4982,0.278,-0.0036,-0.01,-0.0037,0.111,0.0032,0.0621,0.0002,0.5946,0.0198,1.0,0.0,0.2714,0.037,1.0,0.0,0.2849,0.0231,1.0,0.0,0.5032,0.0356,1.0,0.0,0.277,0.0267,1.0,0.0,CVAE,HRD
CVAE-HRH,194,324,321,609,0.38,0.65,0.35566298,0.3745,0.6548,0.3473,0.2312,0.5546,0.5147,0.3756,0.0294,0.03,0.0293,0.1106,0.0023,0.0621,0.0002,0.5546,0.0295,1.0,0.0,0.3767,0.0627,1.0,0.0,0.3735,0.0477,1.0,0.0,0.5327,0.0419,1.0,0.0,0.3743,0.0525,1.0,0.0,CVAE,HRH
Pretrained-BigEarth-NWPTY,500,155,189,604,0.73,0.8,0.47582873,0.7634,0.7617,0.2042,0.5924,0.7624,0.7607,0.744,0.5232,0.53,0.5251,0.3688,0.0501,0.0623,0.0002,0.7625,0.0335,0.8412,0.0053,0.7257,0.067,0.8062,0.0071,0.7641,0.0315,0.8521,0.0059,0.8416,0.0369,0.9278,0.0019,0.7429,0.0415,0.8285,0.0059,Pretrained-BigEarth,NWPTY
Pretrained-BigEarth-FT,107,306,132,903,0.45,0.75,0.16505525,0.2591,0.8725,0.2531,0.1963,0.6975,0.5973,0.3282,0.16,0.2,0.1316,0.4468,0.0302,0.0621,0.0001,0.6975,0.0244,0.8435,0.0048,0.4467,0.1068,0.8963,0.0091,0.2574,0.0475,0.5149,0.0086,0.6533,0.0714,0.9343,0.0013,0.3254,0.0644,0.654,0.0081,Pretrained-BigEarth,FT
Pretrained-BigEarth-NE,331,278,138,701,0.71,0.72,0.32389503,0.5435,0.8355,0.284,0.4431,0.7127,0.7109,0.6141,0.3998,0.43,0.379,0.3696,0.038,0.0622,0.0002,0.7127,0.0323,0.8034,0.0043,0.7058,0.0524,0.8477,0.0055,0.5454,0.0409,0.651,0.0064,0.7693,0.0455,0.8944,0.0025,0.6142,0.0386,0.7364,0.0049,Pretrained-BigEarth,NE
Pretrained-BigEarth-SWF,344,211,49,844,0.88,0.8,0.27140884,0.6198,0.9451,0.2,0.5695,0.8204,0.8377,0.7257,0.6177,0.68,0.5649,0.3399,0.0548,0.0621,0.0003,0.8205,0.0267,0.8693,0.0032,0.8754,0.062,0.9723,0.0031,0.622,0.0407,0.6818,0.0056,0.8955,0.023,0.9566,0.0013,0.7258,0.0383,0.8016,0.004,Pretrained-BigEarth,SWF
Pretrained-BigEarth-HRD,202,353,214,679,0.49,0.66,0.28729282,0.364,0.7604,0.3421,0.2627,0.6084,0.5718,0.4161,0.1336,0.15,0.1244,0.4138,0.0457,0.0623,0.0004,0.6084,0.048,0.7912,0.0057,0.4852,0.0735,0.82,0.0089,0.3657,0.0585,0.6,0.0077,0.5887,0.0604,0.8801,0.0027,0.4162,0.0622,0.6929,0.0077,Pretrained-BigEarth,HRD
Pretrained-BigEarth-HRH,321,313,194,620,0.62,0.66,0.35566298,0.5063,0.7617,0.3355,0.3877,0.6499,0.6439,0.5587,0.2777,0.28,0.268,0.3192,0.0794,0.0623,0.0002,0.6499,0.0443,0.7782,0.0052,0.6233,0.0466,0.8134,0.0083,0.5092,0.0535,0.6505,0.0064,0.6977,0.0456,0.8683,0.0022,0.5596,0.0462,0.7228,0.0064,Pretrained-BigEarth,HRH
Pretrained-ImageNet-NWPTY,541,110,148,649,0.79,0.86,0.47582873,0.831,0.8143,0.1449,0.6771,0.8218,0.8201,0.8075,0.6428,0.65,0.6453,0.8144,0.0483,0.0624,0.0002,0.8218,0.0227,0.9217,0.0015,0.7853,0.0574,0.8863,0.0045,0.8335,0.0342,0.9458,0.0033,0.8981,0.0238,0.9797,0.0008,0.8067,0.0286,0.9151,0.0018,Pretrained-ImageNet,NWPTY
Pretrained-ImageNet-FT,122,261,117,948,0.51,0.78,0.16505525,0.3185,0.8901,0.2159,0.244,0.739,0.6473,0.3923,0.2479,0.29,0.2086,0.6575,0.2153,0.0623,0.0002,0.739,0.0299,0.8943,0.0045,0.5103,0.068,0.9665,0.0077,0.3218,0.0452,0.6145,0.0101,0.723,0.0451,0.9739,0.0017,0.3928,0.0451,0.7513,0.009,Pretrained-ImageNet,FT
Pretrained-ImageNet-NE,314,254,155,725,0.67,0.74,0.32389503,0.5528,0.8239,0.2594,0.4343,0.7175,0.705,0.6056,0.393,0.41,0.3767,0.8438,0.1022,0.0624,0.0002,0.7175,0.0402,0.8741,0.0043,0.6697,0.0702,0.9157,0.0043,0.5572,0.0588,0.7506,0.0083,0.7853,0.0439,0.9539,0.0021,0.6057,0.0487,0.8249,0.0049,Pretrained-ImageNet,NE
Pretrained-ImageNet-SWF,322,160,71,895,0.82,0.85,0.27140884,0.668,0.9265,0.1517,0.5823,0.8405,0.8338,0.736,0.6301,0.67,0.5945,0.7807,0.0529,0.0621,0.0002,0.8405,0.0327,0.9342,0.0031,0.8195,0.0557,0.996,0.0023,0.672,0.0611,0.8068,0.0073,0.9142,0.0223,0.9891,0.0005,0.7368,0.0488,0.8915,0.0047,Pretrained-ImageNet,SWF
Pretrained-ImageNet-HRD,177,334,239,698,0.43,0.68,0.28729282,0.3464,0.7449,0.3236,0.236,0.6043,0.5509,0.3819,0.0964,0.11,0.0913,0.8798,0.1581,0.0623,0.0003,0.6043,0.0366,0.8512,0.0048,0.4255,0.0708,0.9025,0.0056,0.347,0.0488,0.6823,0.0076,0.5924,0.0441,0.9388,0.0018,0.3809,0.054,0.7771,0.0064,Pretrained-ImageNet,HRD
Pretrained-ImageNet-HRH,293,318,222,615,0.57,0.66,0.35566298,0.4795,0.7348,0.3408,0.3517,0.6271,0.614,0.5204,0.2211,0.23,0.2143,0.9509,0.0597,0.0626,0.0002,0.6271,0.0448,0.8531,0.0046,0.5688,0.0929,0.8807,0.0059,0.4793,0.0567,0.75,0.0066,0.6594,0.0583,0.934,0.0025,0.5187,0.0654,0.8101,0.0056,Pretrained-ImageNet,HRH
