id,true_positive,false_positive,false_negative,true_negative,sensitivity,specificity,prevalence,ppv,npv,fpr,threat_score,accuracy,balanced_accuracy,F1,MCC,informedness,markedness,fit_time_mean,fit_time_std,score_time_mean,score_time_std,test_accuracy_mean,test_accuracy_std,train_accuracy_mean,train_accuracy_std,test_recall_mean,test_recall_std,train_recall_mean,train_recall_std,test_precision_mean,test_precision_std,train_precision_mean,train_precision_std,test_roc_auc_mean,test_roc_auc_std,train_roc_auc_mean,train_roc_auc_std,test_f1_mean,test_f1_std,train_f1_mean,train_f1_std,feature,event
PCA-NWPTY,497,165,192,594,0.72,0.78,0.47582873,0.7508,0.7557,0.2174,0.582,0.7535,0.752,0.7358,0.5052,0.5,0.5065,0.1719,0.0118,0.0621,0.0002,0.7535,0.0284,0.9854,0.0018,0.7214,0.0464,0.9765,0.0032,0.753,0.0407,0.9928,0.0018,0.8238,0.0245,0.9983,0.0002,0.7355,0.0315,0.9846,0.0019,PCA,NWPTY
PCA-FT,106,150,133,1059,0.44,0.88,0.16505525,0.4141,0.8884,0.1241,0.2725,0.8046,0.6597,0.4283,0.3108,0.32,0.3025,0.1799,0.0061,0.0624,0.0003,0.8046,0.0366,0.9824,0.0014,0.4438,0.0813,1.0,0.0,0.4269,0.099,0.9038,0.0071,0.78,0.0478,0.9998,0.0001,0.4304,0.0769,0.9495,0.0039,PCA,FT
PCA-NE,302,217,167,762,0.64,0.78,0.32389503,0.5819,0.8202,0.2217,0.4402,0.7348,0.7111,0.6113,0.4121,0.42,0.4021,0.1924,0.0068,0.0623,0.0002,0.7347,0.0384,0.9619,0.0022,0.644,0.0654,0.9998,0.0007,0.5851,0.0587,0.895,0.0052,0.7959,0.0507,0.9979,0.0003,0.6114,0.0513,0.9445,0.003,PCA,NE
PCA-SWF,320,111,73,944,0.81,0.89,0.27140884,0.7425,0.9282,0.1052,0.6349,0.8729,0.8545,0.7767,0.6896,0.7,0.6707,0.1659,0.0062,0.0621,0.0001,0.8729,0.0203,0.9958,0.0011,0.8144,0.0598,1.0,0.0,0.7442,0.0427,0.9847,0.0039,0.9377,0.0179,1.0,0.0,0.7762,0.0378,0.9923,0.002,PCA,SWF
PCA-HRD,191,249,225,783,0.46,0.76,0.28729282,0.4341,0.7768,0.2413,0.2872,0.6727,0.6089,0.4463,0.2143,0.22,0.2109,0.1973,0.004,0.0623,0.0002,0.6727,0.0253,0.9818,0.0017,0.4592,0.0695,0.9968,0.0023,0.4338,0.0454,0.9432,0.0045,0.6476,0.0494,0.9988,0.0003,0.4447,0.0526,0.9692,0.0028,PCA,HRD
PCA-HRH,264,241,251,692,0.51,0.74,0.35566298,0.5228,0.7338,0.2583,0.3492,0.6602,0.6272,0.5176,0.2555,0.25,0.2566,0.2015,0.0057,0.0619,0.0001,0.6602,0.0418,0.9824,0.0029,0.5123,0.0646,0.9776,0.0022,0.5225,0.0617,0.973,0.0068,0.6841,0.0571,0.9985,0.0002,0.5171,0.0621,0.9753,0.004,PCA,HRH
CAE-NWPTY,484,177,205,582,0.7,0.77,0.47582873,0.7322,0.7395,0.2332,0.5589,0.7362,0.7346,0.717,0.4705,0.47,0.4717,0.6143,0.0955,0.062,0.0002,0.7362,0.0355,0.9192,0.0064,0.7025,0.0428,0.8973,0.0085,0.7336,0.0434,0.9305,0.0074,0.8142,0.0285,0.9808,0.0015,0.717,0.0375,0.9135,0.0069,CAE,NWPTY
CAE-FT,130,195,109,1014,0.54,0.84,0.16505525,0.4,0.9029,0.1613,0.2995,0.7901,0.6913,0.461,0.3405,0.38,0.3029,0.5595,0.0733,0.0622,0.0002,0.7901,0.0262,0.9479,0.0029,0.5444,0.0734,0.9977,0.0023,0.4028,0.0554,0.7611,0.0095,0.7867,0.0382,0.9962,0.0007,0.4614,0.0565,0.8635,0.0066,CAE,FT
CAE-NE,329,248,140,731,0.7,0.75,0.32389503,0.5702,0.8393,0.2533,0.4589,0.732,0.7241,0.6291,0.4284,0.45,0.4095,0.6892,0.0515,0.0619,0.0002,0.732,0.0262,0.9207,0.0026,0.7016,0.0604,0.9825,0.0049,0.5705,0.034,0.8122,0.0044,0.8118,0.0416,0.9805,0.0012,0.6285,0.0396,0.8892,0.0035,CAE,NE
CAE-SWF,326,108,67,947,0.83,0.9,0.27140884,0.7512,0.9339,0.1024,0.6507,0.8791,0.8636,0.7884,0.7058,0.73,0.6851,0.5611,0.0797,0.0621,0.0002,0.8791,0.018,0.9827,0.0018,0.8296,0.0519,0.9989,0.0014,0.7545,0.046,0.9412,0.0058,0.9454,0.015,0.9995,0.0002,0.7883,0.0298,0.9691,0.0031,CAE,SWF
CAE-HRD,199,293,217,739,0.48,0.72,0.28729282,0.4045,0.773,0.2839,0.2807,0.6478,0.5972,0.4383,0.1858,0.2,0.1775,0.7466,0.047,0.0623,0.0002,0.6478,0.0284,0.9141,0.0045,0.4783,0.0977,0.9562,0.0077,0.402,0.0477,0.7895,0.0091,0.6505,0.0494,0.9774,0.0012,0.435,0.0655,0.8649,0.0067,CAE,HRD
