id,true_positive,false_positive,false_negative,true_negative,sensitivity,specificity,prevalence,ppv,npv,fpr,threat_score,accuracy,balanced_accuracy,F1,MCC,informedness,markedness,fit_time_mean,fit_time_std,score_time_mean,score_time_std,test_accuracy_mean,test_accuracy_std,train_accuracy_mean,train_accuracy_std,test_recall_mean,test_recall_std,train_recall_mean,train_recall_std,test_precision_mean,test_precision_std,train_precision_mean,train_precision_std,test_roc_auc_mean,test_roc_auc_std,train_roc_auc_mean,train_roc_auc_std,test_f1_mean,test_f1_std,train_f1_mean,train_f1_std,feature,event
PCA-NWPTY,489,168,200,591,0.71,0.78,0.47582873,0.7443,0.7472,0.2213,0.5706,0.7459,0.7442,0.7266,0.4899,0.49,0.4915,1.2713,0.2057,0.0416,0.0003,0.7459,0.028,0.9988,0.0005,0.7098,0.034,0.9976,0.0011,0.7467,0.0405,1.0,0.0,0.8056,0.0258,1.0,0.0,0.7268,0.027,0.9988,0.0005,PCA,NWPTY
PCA-FT,86,115,153,1094,0.36,0.9,0.16505525,0.4279,0.8773,0.0951,0.2429,0.8149,0.6324,0.3909,0.2842,0.26,0.3052,1.2062,0.0827,0.0416,0.0001,0.8149,0.0293,1.0,0.0,0.3603,0.1028,1.0,0.0,0.4353,0.1132,1.0,0.0,0.7611,0.04,1.0,0.0,0.3891,0.0927,1.0,0.0,PCA,FT
PCA-NE,269,203,200,776,0.57,0.79,0.32389503,0.5699,0.7951,0.2074,0.4003,0.7217,0.6831,0.5717,0.3656,0.36,0.365,2.6883,0.6032,0.0415,0.0001,0.7216,0.0376,1.0,0.0,0.5736,0.0747,1.0,0.0,0.5725,0.0605,1.0,0.0,0.7707,0.0499,1.0,0.0,0.571,0.0569,1.0,0.0,PCA,NE
PCA-SWF,307,113,86,942,0.78,0.89,0.27140884,0.731,0.9163,0.1071,0.6067,0.8626,0.837,0.7552,0.6605,0.67,0.6473,0.4277,0.0763,0.0421,0.0017,0.8626,0.0249,1.0,0.0,0.7811,0.0552,1.0,0.0,0.7319,0.0482,1.0,0.0,0.9256,0.0267,1.0,0.0,0.7549,0.0456,1.0,0.0,PCA,SWF
PCA-HRD,163,216,253,816,0.39,0.79,0.28729282,0.4301,0.7633,0.2093,0.2579,0.6761,0.5913,0.4101,0.1879,0.18,0.1934,0.551,0.0166,0.0415,0.0001,0.6761,0.0211,0.9998,0.0003,0.3919,0.0631,0.9995,0.0011,0.431,0.041,1.0,0.0,0.634,0.0473,1.0,0.0,0.408,0.0467,0.9997,0.0005,PCA,HRD
PCA-HRH,243,220,272,713,0.47,0.76,0.35566298,0.5248,0.7239,0.2358,0.3306,0.6602,0.618,0.4969,0.2423,0.23,0.2487,0.9785,0.1318,0.0415,0.0001,0.6602,0.0491,0.9988,0.0008,0.4716,0.0741,0.9965,0.0022,0.526,0.0787,1.0,0.0,0.6639,0.0583,1.0,0.0,0.4964,0.0729,0.9983,0.0011,PCA,HRH
CAE-NWPTY,470,186,219,573,0.68,0.75,0.47582873,0.7165,0.7235,0.2451,0.5371,0.7203,0.7185,0.6989,0.4385,0.43,0.44,2.5659,0.0317,0.0417,0.0003,0.7203,0.0292,0.9816,0.0035,0.6821,0.037,0.9732,0.0047,0.7191,0.0438,0.9879,0.0038,0.7873,0.0298,0.9987,0.0003,0.699,0.0281,0.9805,0.0038,CAE,NWPTY
CAE-FT,92,117,147,1092,0.38,0.9,0.16505525,0.4402,0.8814,0.0968,0.2584,0.8177,0.6441,0.4107,0.3044,0.28,0.3216,1.9911,0.0537,0.0415,0.0001,0.8177,0.0219,0.9959,0.001,0.3853,0.0666,0.9749,0.0063,0.4474,0.0779,1.0,0.0,0.7739,0.0398,1.0,0.0,0.4104,0.0584,0.9873,0.0032,CAE,FT
CAE-NE,275,199,194,780,0.59,0.8,0.32389503,0.5802,0.8008,0.2033,0.4117,0.7286,0.6915,0.5832,0.382,0.39,0.381,2.6346,0.0639,0.0416,0.0002,0.7285,0.0275,0.9897,0.0026,0.5864,0.0582,0.9837,0.0053,0.5827,0.0471,0.9846,0.0051,0.7906,0.04,0.9995,0.0001,0.5827,0.0414,0.9841,0.0039,CAE,NE
CAE-SWF,294,76,99,979,0.75,0.93,0.27140884,0.7946,0.9082,0.072,0.6269,0.8791,0.838,0.7706,0.6893,0.68,0.7028,1.1371,0.0539,0.0415,0.0002,0.8791,0.0199,1.0,0.0,0.748,0.0521,1.0,0.0,0.7967,0.0484,1.0,0.0,0.9395,0.0164,1.0,0.0,0.7702,0.0395,1.0,0.0,CAE,SWF
CAE-HRD,156,222,260,810,0.38,0.78,0.28729282,0.4127,0.757,0.2151,0.2445,0.6671,0.5799,0.3929,0.1647,0.16,0.1697,2.8186,0.0568,0.0419,0.0005,0.6672,0.0332,0.978,0.0013,0.3747,0.0792,0.9327,0.0048,0.411,0.0696,0.9901,0.0031,0.6385,0.0519,0.9974,0.0007,0.3911,0.0722,0.9605,0.0024,CAE,HRD
CAE-HRH,257,220,258,713,0.5,0.76,0.35566298,0.5388,0.7343,0.2358,0.3497,0.6699,0.6316,0.5181,0.2681,0.26,0.2731,2.8303,0.0489,0.0415,0.0002,0.6699,0.0398,0.9785,0.0031,0.4988,0.0582,0.9478,0.0071,0.5403,0.0624,0.9914,0.0031,0.6873,0.0451,0.9968,0.0005,0.5179,0.057,0.9691,0.0045,CAE,HRH
CVAE-NWPTY,331,400,358,359,0.48,0.47,0.47582873,0.4528,0.5007,0.527,0.3039,0.4765,0.4767,0.4662,-0.0466,-0.05,-0.0465,0.2755,0.0046,0.0415,0.0001,0.4766,0.0457,1.0,0.0,0.4806,0.0512,1.0,0.0,0.4555,0.044,1.0,0.0,0.4813,0.0484,1.0,0.0,0.4661,0.0376,1.0,0.0,CVAE,NWPTY
CVAE-FT,79,357,160,852,0.33,0.7,0.16505525,0.1812,0.8419,0.2953,0.1326,0.643,0.5176,0.2341,0.0285,0.03,0.0231,0.2363,0.0028,0.0415,0.0001,0.643,0.0375,1.0,0.0,0.3306,0.0824,1.0,0.0,0.1824,0.0384,1.0,0.0,0.5066,0.0383,1.0,0.0,0.2334,0.0474,1.0,0.0,CVAE,FT
CVAE-NE,159,405,310,574,0.34,0.59,0.32389503,0.2819,0.6493,0.4137,0.1819,0.5062,0.4627,0.3078,-0.0717,-0.07,-0.0688,0.2645,0.0045,0.0415,0.0001,0.5062,0.0377,1.0,0.0,0.3389,0.0503,1.0,0.0,0.2828,0.0434,1.0,0.0,0.4546,0.0486,1.0,0.0,0.3078,0.0445,1.0,0.0,CVAE,NE
CVAE-SWF,141,417,252,638,0.36,0.6,0.27140884,0.2527,0.7169,0.3953,0.1741,0.538,0.4818,0.2965,-0.0333,-0.04,-0.0304,0.2515,0.005,0.0415,0.0001,0.538,0.0508,1.0,0.0,0.359,0.0631,1.0,0.0,0.2547,0.0462,1.0,0.0,0.4955,0.0588,1.0,0.0,0.2974,0.0517,1.0,0.0,CVAE,SWF
CVAE-HRD,156,395,260,637,0.38,0.62,0.28729282,0.2831,0.7101,0.3828,0.1924,0.5477,0.4961,0.3226,-0.0072,0.0,-0.0068,0.2543,0.0028,0.0417,0.0001,0.5476,0.0287,1.0,0.0,0.375,0.0353,1.0,0.0,0.2841,0.0232,1.0,0.0,0.4991,0.0313,1.0,0.0,0.3225,0.0233,1.0,0.0,CVAE,HRD
CVAE-HRH,229,378,286,555,0.44,0.59,0.35566298,0.3773,0.6599,0.4051,0.2564,0.5414,0.5198,0.4082,0.0383,0.03,0.0372,0.2557,0.0031,0.0414,0.0,0.5415,0.0236,1.0,0.0,0.4447,0.0629,1.0,0.0,0.3762,0.0324,1.0,0.0,0.5324,0.0384,1.0,0.0,0.4068,0.0436,1.0,0.0,CVAE,HRH
Pretrained-BigEarth-NWPTY,499,154,190,605,0.72,0.8,0.47582873,0.7642,0.761,0.2029,0.5919,0.7624,0.7607,0.7437,0.5233,0.52,0.5252,1.5953,0.0165,0.0415,0.0002,0.7625,0.0379,0.9276,0.004,0.7243,0.0633,0.9011,0.007,0.7644,0.0362,0.9441,0.0029,0.8388,0.0362,0.9815,0.0011,0.7427,0.0452,0.9221,0.0045,Pretrained-BigEarth,NWPTY
Pretrained-BigEarth-FT,29,37,210,1172,0.12,0.97,0.16505525,0.4394,0.848,0.0306,0.1051,0.8294,0.5454,0.1902,0.1615,0.09,0.2874,1.4715,0.0346,0.0415,0.0001,0.8294,0.0152,0.9036,0.0029,0.121,0.073,0.4212,0.0194,0.5122,0.2753,0.9882,0.0089,0.6529,0.0615,0.9827,0.001,0.1815,0.0962,0.5903,0.0186,Pretrained-BigEarth,FT
Pretrained-BigEarth-NE,234,161,235,818,0.5,0.84,0.32389503,0.5924,0.7768,0.1645,0.3714,0.7265,0.6672,0.5417,0.3514,0.34,0.3692,1.6521,0.0248,0.0415,0.0002,0.7265,0.0441,0.9094,0.005,0.4988,0.0514,0.7996,0.0087,0.5981,0.09,0.9099,0.0126,0.7639,0.044,0.9695,0.0017,0.5429,0.0634,0.8511,0.008,Pretrained-BigEarth,NE
Pretrained-BigEarth-SWF,257,121,136,934,0.65,0.89,0.27140884,0.6799,0.8729,0.1147,0.5,0.8225,0.7696,0.6667,0.546,0.54,0.5528,1.6676,0.0273,0.0415,0.0002,0.8225,0.0271,0.966,0.0029,0.6537,0.0783,0.935,0.008,0.6825,0.0546,0.9395,0.0045,0.9006,0.0232,0.9938,0.0005,0.665,0.0573,0.9372,0.0054,Pretrained-BigEarth,SWF
Pretrained-BigEarth-HRD,78,133,338,899,0.19,0.87,0.28729282,0.3697,0.7268,0.1289,0.1421,0.6747,0.5293,0.2488,0.0752,0.06,0.0965,1.7865,0.0228,0.0417,0.0001,0.6747,0.0246,0.8748,0.0043,0.1874,0.0433,0.6018,0.0134,0.3722,0.0863,0.9411,0.0086,0.5743,0.0491,0.9609,0.0015,0.248,0.0546,0.734,0.0108,Pretrained-BigEarth,HRD
Pretrained-BigEarth-HRH,202,201,313,732,0.39,0.78,0.35566298,0.5012,0.7005,0.2154,0.2821,0.645,0.5884,0.4401,0.1888,0.17,0.2017,1.8084,0.0487,0.0418,0.0002,0.645,0.0325,0.8936,0.0035,0.3922,0.0551,0.7767,0.0075,0.5061,0.0643,0.911,0.0071,0.6779,0.0417,0.9595,0.0016,0.4392,0.0471,0.8385,0.0055,Pretrained-BigEarth,HRH
Pretrained-ImageNet-NWPTY,534,126,155,633,0.78,0.83,0.47582873,0.8091,0.8033,0.166,0.6552,0.8059,0.8045,0.7917,0.6107,0.61,0.6124,3.5789,0.0395,0.0416,0.0002,0.806,0.0202,0.9818,0.0018,0.775,0.0573,0.9676,0.0032,0.812,0.037,0.994,0.0017,0.8919,0.0228,0.9988,0.0002,0.7909,0.0262,0.9806,0.0019,Pretrained-ImageNet,NWPTY
