id,true_positive,false_positive,false_negative,true_negative,sensitivity,specificity,prevalence,ppv,npv,fpr,threat_score,accuracy,balanced_accuracy,F1,MCC,informedness,markedness,fit_time_mean,fit_time_std,score_time_mean,score_time_std,test_accuracy_mean,test_accuracy_std,train_accuracy_mean,train_accuracy_std,test_recall_mean,test_recall_std,train_recall_mean,train_recall_std,test_precision_mean,test_precision_std,train_precision_mean,train_precision_std,test_roc_auc_mean,test_roc_auc_std,train_roc_auc_mean,train_roc_auc_std,test_f1_mean,test_f1_std,train_f1_mean,train_f1_std,feature,event
PCA-NWPTY,489,175,200,584,0.71,0.77,0.47582873,0.7364,0.7449,0.2306,0.566,0.741,0.7396,0.7228,0.4802,0.48,0.4813,1.4128,0.2376,0.0418,0.0004,0.7411,0.0264,1.0,0.0,0.7098,0.0327,1.0,0.0,0.7388,0.0385,1.0,0.0,0.8023,0.0264,1.0,0.0,0.723,0.0246,1.0,0.0,PCA,NWPTY
PCA-FT,109,168,130,1041,0.46,0.86,0.16505525,0.3935,0.889,0.139,0.2678,0.7942,0.6586,0.4225,0.2993,0.32,0.2825,1.2684,0.1226,0.0418,0.0002,0.7942,0.0258,1.0,0.0,0.4563,0.0532,1.0,0.0,0.4002,0.0558,1.0,0.0,0.7568,0.0411,1.0,0.0,0.4235,0.0411,1.0,0.0,PCA,FT
PCA-NE,288,232,181,747,0.61,0.76,0.32389503,0.5538,0.805,0.237,0.4108,0.7148,0.6885,0.5824,0.3678,0.37,0.3588,2.9728,0.6732,0.0417,0.0001,0.7147,0.0366,0.9998,0.0003,0.6141,0.0687,1.0,0.0,0.5575,0.0562,0.9995,0.0009,0.7666,0.0497,1.0,0.0,0.5821,0.0479,0.9998,0.0005,PCA,NE
PCA-SWF,321,135,72,920,0.82,0.87,0.27140884,0.7039,0.9274,0.128,0.608,0.857,0.8444,0.7562,0.6595,0.69,0.6313,0.4155,0.0737,0.0418,0.0001,0.857,0.0243,1.0,0.0,0.8168,0.0493,1.0,0.0,0.7061,0.0458,1.0,0.0,0.925,0.0263,1.0,0.0,0.7563,0.0386,1.0,0.0,PCA,SWF
PCA-HRD,186,264,230,768,0.45,0.74,0.28729282,0.4133,0.7695,0.2558,0.2735,0.6588,0.5957,0.4296,0.187,0.19,0.1828,0.6356,0.0267,0.0421,0.0002,0.6589,0.0284,1.0,0.0,0.4473,0.0769,1.0,0.0,0.4139,0.0502,1.0,0.0,0.6311,0.049,1.0,0.0,0.4277,0.0554,1.0,0.0,PCA,HRD
PCA-HRH,262,249,253,684,0.51,0.73,0.35566298,0.5127,0.73,0.2669,0.3429,0.6533,0.6209,0.5107,0.2423,0.24,0.2427,1.0516,0.1215,0.0417,0.0001,0.6533,0.0491,1.0,0.0,0.5085,0.0712,1.0,0.0,0.5139,0.0715,1.0,0.0,0.6582,0.0584,1.0,0.0,0.5105,0.0683,1.0,0.0,PCA,HRH
CAE-NWPTY,470,195,219,564,0.68,0.74,0.47582873,0.7068,0.7203,0.2569,0.5317,0.7141,0.7126,0.6942,0.4262,0.42,0.4271,3.5028,0.054,0.0419,0.0002,0.7141,0.0309,0.9923,0.0015,0.6821,0.0402,0.99,0.0021,0.7086,0.0412,0.9939,0.0021,0.7797,0.0295,0.9997,0.0001,0.6942,0.0315,0.9919,0.0016,CAE,NWPTY
CAE-FT,111,168,128,1041,0.46,0.86,0.16505525,0.3978,0.8905,0.139,0.2727,0.7956,0.6627,0.4286,0.3064,0.32,0.2883,2.762,0.0733,0.0419,0.0002,0.7956,0.0302,0.9982,0.0005,0.465,0.092,1.0,0.0,0.4004,0.0758,0.989,0.003,0.7685,0.0418,1.0,0.0,0.4287,0.0778,0.9945,0.0015,CAE,FT
CAE-NE,296,235,173,744,0.63,0.76,0.32389503,0.5574,0.8113,0.24,0.4205,0.7182,0.6955,0.592,0.3798,0.39,0.3687,3.5964,0.1572,0.0417,0.0001,0.7182,0.0365,0.9869,0.002,0.6313,0.0779,1.0,0.0,0.5586,0.0535,0.9611,0.0057,0.7849,0.0387,0.9999,0.0001,0.591,0.0568,0.9802,0.0029,CAE,NE
CAE-SWF,312,97,81,958,0.79,0.91,0.27140884,0.7628,0.922,0.0919,0.6367,0.8771,0.851,0.7781,0.6934,0.7,0.6848,1.2836,0.0648,0.0415,0.0001,0.8771,0.0183,1.0,0.0,0.7939,0.0386,1.0,0.0,0.7648,0.042,1.0,0.0,0.9381,0.0167,1.0,0.0,0.7782,0.0311,1.0,0.0,CAE,SWF
