id,true_positive,false_positive,false_negative,true_negative,sensitivity,specificity,prevalence,ppv,npv,fpr,threat_score,accuracy,balanced_accuracy,F1,MCC,informedness,markedness,fit_time_mean,fit_time_std,score_time_mean,score_time_std,test_accuracy_mean,test_accuracy_std,train_accuracy_mean,train_accuracy_std,test_recall_mean,test_recall_std,train_recall_mean,train_recall_std,test_precision_mean,test_precision_std,train_precision_mean,train_precision_std,test_roc_auc_mean,test_roc_auc_std,train_roc_auc_mean,train_roc_auc_std,test_f1_mean,test_f1_std,train_f1_mean,train_f1_std,feature,event
PCA-NWPTY,496,177,193,582,0.72,0.77,0.47582873,0.737,0.751,0.2332,0.5727,0.7445,0.7433,0.7283,0.4873,0.49,0.488,0.2353,0.0087,0.0608,0.0002,0.7445,0.0286,0.9992,0.0005,0.7199,0.0327,0.9982,0.0011,0.7394,0.0405,1.0,0.0,0.8074,0.0256,1.0,0.0,0.7286,0.0264,0.9991,0.0006,PCA,NWPTY
PCA-FT,97,140,142,1069,0.41,0.88,0.16505525,0.4093,0.8827,0.1158,0.2559,0.8052,0.645,0.4076,0.291,0.29,0.292,0.2488,0.0059,0.0608,0.0001,0.8053,0.0323,0.9993,0.0006,0.4062,0.0849,1.0,0.0,0.4205,0.103,0.9959,0.0038,0.7635,0.0442,1.0,0.0,0.4084,0.0777,0.9979,0.0019,PCA,FT
PCA-NE,287,218,182,761,0.61,0.78,0.32389503,0.5683,0.807,0.2227,0.4178,0.7238,0.6946,0.5893,0.3822,0.39,0.3753,0.2741,0.0087,0.0609,0.0001,0.7237,0.0413,0.9986,0.0005,0.6119,0.0622,1.0,0.0,0.5717,0.0637,0.9958,0.0014,0.7742,0.0504,1.0,0.0,0.5896,0.0546,0.9979,0.0007,PCA,NE
PCA-SWF,302,102,91,953,0.77,0.9,0.27140884,0.7475,0.9128,0.0967,0.6101,0.8667,0.8359,0.7578,0.666,0.67,0.6603,0.212,0.0067,0.0608,0.0002,0.8667,0.0197,1.0,0.0,0.7687,0.054,1.0,0.0,0.7492,0.0422,1.0,0.0,0.934,0.0189,1.0,0.0,0.7576,0.037,1.0,0.0,PCA,SWF
PCA-HRD,178,249,238,783,0.43,0.76,0.28729282,0.4169,0.7669,0.2413,0.2677,0.6637,0.5933,0.4223,0.1852,0.19,0.1838,0.2798,0.0129,0.0609,0.0002,0.6637,0.0262,0.9998,0.0003,0.428,0.0624,1.0,0.0,0.4183,0.0466,0.9995,0.0011,0.6334,0.0505,1.0,0.0,0.4211,0.0467,0.9997,0.0005,PCA,HRD
PCA-HRH,263,246,252,687,0.51,0.74,0.35566298,0.5167,0.7316,0.2637,0.3456,0.6561,0.6235,0.5137,0.2477,0.25,0.2483,0.2787,0.0076,0.0607,0.0001,0.656,0.0488,1.0,0.0,0.5104,0.0757,1.0,0.0,0.5169,0.0717,1.0,0.0,0.6612,0.0572,1.0,0.0,0.513,0.0714,1.0,0.0,PCA,HRH
CAE-NWPTY,473,192,216,567,0.69,0.75,0.47582873,0.7113,0.7241,0.253,0.5369,0.7182,0.7168,0.6987,0.4345,0.44,0.4354,1.0918,0.1077,0.0608,0.0002,0.7183,0.0316,0.9812,0.0027,0.6865,0.0355,0.9779,0.0041,0.7139,0.0446,0.9825,0.0037,0.7868,0.0292,0.9987,0.0003,0.6989,0.0298,0.9802,0.0029,CAE,NWPTY
CAE-FT,116,171,123,1038,0.49,0.86,0.16505525,0.4042,0.8941,0.1414,0.2829,0.797,0.672,0.4411,0.3203,0.35,0.2983,0.9442,0.0519,0.0608,0.0001,0.797,0.0291,0.9953,0.0015,0.4859,0.0871,1.0,0.0,0.4077,0.0697,0.9725,0.0084,0.7714,0.0401,1.0,0.0,0.4411,0.0702,0.986,0.0043,CAE,FT
CAE-NE,305,239,164,740,0.65,0.76,0.32389503,0.5607,0.8186,0.2441,0.4308,0.7217,0.7031,0.6022,0.3925,0.41,0.3793,1.2643,0.1744,0.0609,0.0001,0.7216,0.0282,0.9743,0.0028,0.6505,0.0632,1.0,0.0,0.5618,0.0423,0.9265,0.0075,0.7929,0.0389,0.9992,0.0002,0.6016,0.0429,0.9618,0.0041,CAE,NE
CAE-SWF,314,94,79,961,0.8,0.91,0.27140884,0.7696,0.924,0.0891,0.6448,0.8805,0.8549,0.784,0.7017,0.71,0.6936,0.8874,0.0767,0.0608,0.0001,0.8805,0.0136,0.9999,0.0002,0.7992,0.0505,1.0,0.0,0.7728,0.0417,0.9997,0.0008,0.9404,0.0143,1.0,0.0,0.7838,0.0243,0.9999,0.0004,CAE,SWF
