id,true_positive,false_positive,false_negative,true_negative,sensitivity,specificity,prevalence,ppv,npv,fpr,threat_score,accuracy,balanced_accuracy,F1,MCC,informedness,markedness,fit_time_mean,fit_time_std,score_time_mean,score_time_std,test_accuracy_mean,test_accuracy_std,train_accuracy_mean,train_accuracy_std,test_recall_mean,test_recall_std,train_recall_mean,train_recall_std,test_precision_mean,test_precision_std,train_precision_mean,train_precision_std,test_roc_auc_mean,test_roc_auc_std,train_roc_auc_mean,train_roc_auc_std,test_f1_mean,test_f1_std,train_f1_mean,train_f1_std,feature,event
CVAE-NE,178,431,291,548,0.38,0.56,0.32389503,0.2923,0.6532,0.4402,0.1978,0.5014,0.4696,0.3302,-0.0576,-0.06,-0.0545,0.1744,0.0015,0.0421,0.0001,0.5014,0.048,0.9983,0.0006,0.3795,0.0517,1.0,0.0,0.2944,0.0457,0.9948,0.0018,0.4599,0.047,1.0,0.0,0.3308,0.0458,0.9974,0.0009,CVAE,NE
CVAE-SWF,159,449,234,606,0.4,0.57,0.27140884,0.2615,0.7214,0.4256,0.1888,0.5283,0.4895,0.3177,-0.0189,-0.03,-0.0171,0.1695,0.0017,0.0422,0.0002,0.5283,0.0442,0.9992,0.0008,0.4047,0.0535,1.0,0.0,0.263,0.0339,0.9972,0.0028,0.4929,0.0531,1.0,0.0,0.3179,0.0382,0.9986,0.0014,CVAE,SWF
CVAE-HRD,173,437,243,595,0.42,0.58,0.28729282,0.2836,0.71,0.4234,0.2028,0.5304,0.4962,0.3372,-0.007,0.0,-0.0064,0.1708,0.0018,0.0424,0.0001,0.5304,0.0174,0.9989,0.0006,0.4157,0.0545,1.0,0.0,0.2828,0.0223,0.9963,0.0021,0.499,0.0318,1.0,0.0,0.3361,0.0324,0.9981,0.0011,CVAE,HRD
CVAE-HRH,237,394,278,539,0.46,0.58,0.35566298,0.3756,0.6597,0.4223,0.2607,0.5359,0.519,0.4136,0.0366,0.04,0.0353,0.1709,0.0029,0.042,0.0002,0.5359,0.0326,0.9998,0.0004,0.4601,0.0675,1.0,0.0,0.3749,0.0406,0.9994,0.001,0.5329,0.0412,1.0,0.0,0.4125,0.0497,0.9997,0.0005,CVAE,HRH
Pretrained-BigEarth-NWPTY,485,177,204,582,0.7,0.77,0.47582873,0.7326,0.7405,0.2332,0.56,0.7369,0.7354,0.718,0.4719,0.47,0.4731,0.1531,0.0008,0.0421,0.0001,0.7369,0.0436,0.7632,0.0051,0.7041,0.0676,0.7268,0.0064,0.7338,0.0493,0.764,0.006,0.8132,0.0416,0.843,0.0035,0.7172,0.0498,0.745,0.0055,Pretrained-BigEarth,NWPTY
Pretrained-BigEarth-FT,132,411,107,798,0.55,0.66,0.16505525,0.2431,0.8818,0.34,0.2031,0.6423,0.6062,0.3376,0.1628,0.21,0.1249,0.2136,0.0075,0.0422,0.0001,0.6423,0.0419,0.6984,0.0075,0.5518,0.0903,0.7211,0.0119,0.2453,0.0441,0.3179,0.0071,0.6456,0.0626,0.7738,0.0053,0.3384,0.0537,0.4412,0.0082,Pretrained-BigEarth,FT
Pretrained-BigEarth-NE,322,293,147,686,0.69,0.7,0.32389503,0.5236,0.8235,0.2993,0.4226,0.6961,0.6936,0.5941,0.3666,0.39,0.3471,0.1647,0.0021,0.0423,0.0001,0.6961,0.0457,0.7186,0.0043,0.6865,0.0548,0.7311,0.0067,0.5258,0.0532,0.5493,0.005,0.7571,0.0471,0.7951,0.0041,0.5949,0.052,0.6273,0.0055,Pretrained-BigEarth,NE
Pretrained-BigEarth-SWF,347,264,46,791,0.88,0.75,0.27140884,0.5679,0.945,0.2502,0.5282,0.7859,0.8164,0.6912,0.5697,0.63,0.5129,0.1702,0.003,0.0422,0.0001,0.7859,0.0338,0.8015,0.0041,0.8831,0.0581,0.9056,0.005,0.5704,0.0461,0.5871,0.0055,0.8733,0.029,0.895,0.0024,0.6919,0.0431,0.7123,0.0047,Pretrained-BigEarth,SWF
Pretrained-BigEarth-HRD,222,401,194,631,0.53,0.61,0.28729282,0.3563,0.7648,0.3886,0.2717,0.5891,0.5725,0.4273,0.1326,0.14,0.1211,0.1722,0.0019,0.0423,0.0001,0.5891,0.0507,0.6631,0.0048,0.5333,0.0985,0.6562,0.0081,0.3564,0.0621,0.4419,0.0053,0.594,0.0722,0.7226,0.0032,0.4263,0.0734,0.5281,0.0053,Pretrained-BigEarth,HRD
Pretrained-BigEarth-HRH,358,343,157,590,0.7,0.63,0.35566298,0.5107,0.7898,0.3676,0.4172,0.6547,0.6638,0.5888,0.3137,0.33,0.3005,0.1641,0.0018,0.0421,0.0001,0.6547,0.0413,0.6832,0.0058,0.6951,0.065,0.7387,0.0067,0.5126,0.0441,0.5399,0.0061,0.7005,0.0483,0.7542,0.0035,0.5888,0.0443,0.6239,0.0057,Pretrained-BigEarth,HRH
Pretrained-ImageNet-NWPTY,531,98,158,661,0.77,0.87,0.47582873,0.8442,0.8071,0.1291,0.6747,0.8232,0.8208,0.8058,0.6464,0.64,0.6513,0.2213,0.0029,0.0422,0.0004,0.8232,0.0181,0.855,0.0036,0.7707,0.0446,0.797,0.0059,0.8481,0.0433,0.887,0.0046,0.8921,0.0238,0.9279,0.002,0.8056,0.0195,0.8395,0.0042,Pretrained-ImageNet,NWPTY
Pretrained-ImageNet-FT,152,339,87,870,0.64,0.72,0.16505525,0.3096,0.9091,0.2804,0.263,0.7058,0.6778,0.4164,0.2788,0.36,0.2187,0.3543,0.0055,0.0421,0.0002,0.7058,0.0446,0.7749,0.0047,0.6359,0.0625,0.8554,0.0096,0.3163,0.0524,0.4123,0.0063,0.7353,0.0269,0.8845,0.003,0.419,0.0438,0.5564,0.0074,Pretrained-ImageNet,FT
Pretrained-ImageNet-NE,348,278,121,701,0.74,0.72,0.32389503,0.5559,0.8528,0.284,0.4659,0.7244,0.729,0.6356,0.4327,0.46,0.4087,0.2552,0.0035,0.0421,0.0001,0.7244,0.0341,0.783,0.0036,0.7421,0.0476,0.8332,0.0061,0.5604,0.0488,0.6235,0.0049,0.8043,0.0375,0.8766,0.0033,0.6364,0.0317,0.7132,0.0041,Pretrained-ImageNet,NE
Pretrained-ImageNet-SWF,355,204,38,851,0.9,0.81,0.27140884,0.6351,0.9573,0.1934,0.5946,0.8329,0.855,0.7458,0.6485,0.71,0.5924,0.263,0.0035,0.0421,0.0003,0.8329,0.0241,0.8637,0.0034,0.9036,0.0634,0.9618,0.0029,0.6381,0.0409,0.6746,0.0057,0.9097,0.0196,0.9437,0.0014,0.746,0.0322,0.793,0.0044,Pretrained-ImageNet,SWF
Pretrained-ImageNet-HRD,215,384,201,648,0.52,0.63,0.28729282,0.3589,0.7633,0.3721,0.2688,0.596,0.5724,0.4236,0.133,0.15,0.1222,0.2813,0.0024,0.042,0.0001,0.596,0.0478,0.7238,0.0054,0.5168,0.0732,0.7671,0.0079,0.3603,0.0558,0.513,0.0064,0.6125,0.0603,0.8088,0.0018,0.4239,0.0617,0.6148,0.0058,Pretrained-ImageNet,HRD
Pretrained-ImageNet-HRH,348,337,167,596,0.68,0.64,0.35566298,0.508,0.7811,0.3612,0.4085,0.6519,0.6573,0.58,0.3016,0.32,0.2891,0.2517,0.0038,0.042,0.0002,0.6519,0.0587,0.7309,0.0032,0.6757,0.0852,0.7629,0.0085,0.5096,0.0644,0.5949,0.0038,0.6927,0.0554,0.82,0.0039,0.58,0.0692,0.6685,0.0041,Pretrained-ImageNet,HRH
