id,true_positive,false_positive,false_negative,true_negative,sensitivity,specificity,prevalence,ppv,npv,fpr,threat_score,accuracy,balanced_accuracy,F1,MCC,informedness,markedness,fit_time_mean,fit_time_std,score_time_mean,score_time_std,test_accuracy_mean,test_accuracy_std,train_accuracy_mean,train_accuracy_std,test_recall_mean,test_recall_std,train_recall_mean,train_recall_std,test_precision_mean,test_precision_std,train_precision_mean,train_precision_std,test_roc_auc_mean,test_roc_auc_std,train_roc_auc_mean,train_roc_auc_std,test_f1_mean,test_f1_std,train_f1_mean,train_f1_std,feature,event
PCA-NWPTY,480,133,209,626,0.7,0.82,0.47582873,0.783,0.7497,0.1752,0.5839,0.7638,0.7607,0.7373,0.5271,0.52,0.5327,0.2229,0.0188,0.0424,0.0005,0.7638,0.0244,0.8657,0.005,0.6967,0.0529,0.8102,0.008,0.7852,0.0365,0.8976,0.0047,0.8419,0.0232,0.9477,0.0013,0.7366,0.0321,0.8517,0.0059,PCA,NWPTY
PCA-FT,161,292,78,917,0.67,0.76,0.16505525,0.3554,0.9216,0.2415,0.3032,0.7445,0.7161,0.4653,0.346,0.43,0.277,0.2011,0.0118,0.0424,0.0001,0.7445,0.0518,0.8651,0.0044,0.6737,0.0736,0.9954,0.0021,0.3627,0.0654,0.5506,0.0081,0.803,0.0461,0.9704,0.0007,0.4695,0.0685,0.709,0.0067,PCA,FT
PCA-NE,365,290,104,689,0.78,0.7,0.32389503,0.5573,0.8689,0.2962,0.4809,0.7279,0.741,0.6495,0.4532,0.48,0.4262,0.1722,0.0148,0.0423,0.0001,0.7278,0.0328,0.8491,0.0054,0.7784,0.0636,0.955,0.006,0.5582,0.0388,0.6942,0.0075,0.8206,0.0478,0.9386,0.0029,0.6493,0.0417,0.804,0.0063,PCA,NE
PCA-SWF,362,210,31,845,0.92,0.8,0.27140884,0.6329,0.9646,0.1991,0.6003,0.8336,0.861,0.7503,0.6568,0.72,0.5975,0.161,0.0119,0.0421,0.0001,0.8336,0.0269,0.9094,0.0023,0.921,0.0465,0.9966,0.0017,0.6348,0.0411,0.751,0.0053,0.9393,0.0209,0.9918,0.0006,0.7507,0.0363,0.8565,0.0032,PCA,SWF
PCA-HRD,235,315,181,717,0.56,0.69,0.28729282,0.4273,0.7984,0.3052,0.3215,0.6575,0.6298,0.4865,0.2421,0.25,0.2257,0.1635,0.0064,0.0423,0.0001,0.6574,0.0362,0.8553,0.0056,0.5648,0.0655,0.9046,0.0111,0.4285,0.0418,0.689,0.0082,0.6777,0.0432,0.9392,0.0021,0.4861,0.0471,0.7822,0.0083,PCA,HRD
PCA-HRH,318,256,197,677,0.62,0.73,0.35566298,0.554,0.7746,0.2744,0.4125,0.6872,0.6715,0.584,0.3358,0.35,0.3286,0.2489,0.0344,0.0423,0.0002,0.6872,0.0412,0.8533,0.0034,0.6175,0.0477,0.8645,0.0069,0.5561,0.0536,0.7574,0.006,0.7322,0.0495,0.931,0.0023,0.5846,0.0481,0.8074,0.0041,PCA,HRH
CAE-NWPTY,485,155,204,604,0.7,0.8,0.47582873,0.7578,0.7475,0.2042,0.5746,0.7521,0.7499,0.7299,0.5025,0.5,0.5053,0.1723,0.0014,0.0422,0.0001,0.7521,0.0333,0.8164,0.0048,0.704,0.0647,0.7697,0.0078,0.7586,0.0357,0.8318,0.0053,0.8338,0.0299,0.9106,0.0022,0.7287,0.0436,0.7996,0.0056,CAE,NWPTY
CAE-FT,157,255,82,954,0.66,0.79,0.16505525,0.3811,0.9208,0.2109,0.3178,0.7673,0.723,0.4823,0.3669,0.45,0.3019,0.2843,0.0101,0.0424,0.0002,0.7673,0.0346,0.8486,0.0045,0.6574,0.0793,0.9261,0.0077,0.3842,0.0541,0.5235,0.0079,0.8051,0.0417,0.942,0.002,0.4838,0.0593,0.6688,0.008,CAE,FT
CAE-NE,362,286,107,693,0.77,0.71,0.32389503,0.5586,0.8662,0.2921,0.4795,0.7286,0.7399,0.6482,0.4515,0.48,0.4248,0.1974,0.0034,0.0422,0.0001,0.7285,0.0498,0.8059,0.0047,0.772,0.0788,0.8981,0.0054,0.5603,0.0616,0.6436,0.0063,0.82,0.0455,0.9099,0.003,0.6483,0.0643,0.7498,0.005,CAE,NE
CAE-SWF,348,132,45,923,0.89,0.87,0.27140884,0.725,0.9535,0.1251,0.6629,0.8778,0.8802,0.7973,0.7183,0.76,0.6785,0.2029,0.0033,0.042,0.0001,0.8777,0.0246,0.926,0.0028,0.8854,0.0599,0.9731,0.0034,0.7284,0.0518,0.7983,0.0069,0.9461,0.0163,0.9809,0.0008,0.7974,0.0394,0.8771,0.0043,CAE,SWF
CAE-HRD,226,323,190,709,0.54,0.69,0.28729282,0.4117,0.7887,0.313,0.3058,0.6457,0.6151,0.4684,0.2148,0.23,0.2004,0.2118,0.0036,0.0422,0.0002,0.6457,0.0377,0.7986,0.0038,0.5431,0.0848,0.8242,0.0096,0.4117,0.0502,0.6108,0.0056,0.6752,0.039,0.8817,0.003,0.4672,0.0595,0.7016,0.0057,CAE,HRD
CAE-HRH,333,250,182,683,0.65,0.73,0.35566298,0.5712,0.7896,0.268,0.4353,0.7017,0.6893,0.6066,0.3696,0.38,0.3608,0.1947,0.0033,0.042,0.0002,0.7017,0.0358,0.8132,0.004,0.6466,0.0345,0.8069,0.0079,0.5753,0.0522,0.7085,0.005,0.7549,0.0373,0.8901,0.0026,0.6074,0.0347,0.7545,0.0056,CAE,HRH
CVAE-NWPTY,316,406,373,353,0.46,0.47,0.47582873,0.4377,0.4862,0.5349,0.2886,0.462,0.4619,0.4479,-0.0762,-0.07,-0.0761,0.1764,0.0026,0.0422,0.0003,0.4621,0.0366,0.9998,0.0003,0.4588,0.0602,0.9998,0.0005,0.4381,0.035,0.9998,0.0005,0.4777,0.0481,1.0,0.0,0.4468,0.0415,0.9998,0.0003,CVAE,NWPTY
CVAE-FT,91,434,148,775,0.38,0.64,0.16505525,0.1733,0.8397,0.359,0.1352,0.5981,0.5109,0.2382,0.0168,0.02,0.013,0.1628,0.0013,0.0423,0.0001,0.5981,0.0316,0.9993,0.0007,0.3806,0.0896,1.0,0.0,0.1728,0.028,0.9959,0.0043,0.4944,0.0352,1.0,0.0,0.2367,0.0412,0.9979,0.0022,CVAE,FT
