id,true_positive,false_positive,false_negative,true_negative,sensitivity,specificity,prevalence,ppv,npv,fpr,threat_score,accuracy,balanced_accuracy,F1,MCC,informedness,markedness,fit_time_mean,fit_time_std,score_time_mean,score_time_std,test_accuracy_mean,test_accuracy_std,train_accuracy_mean,train_accuracy_std,test_recall_mean,test_recall_std,train_recall_mean,train_recall_std,test_precision_mean,test_precision_std,train_precision_mean,train_precision_std,test_roc_auc_mean,test_roc_auc_std,train_roc_auc_mean,train_roc_auc_std,test_f1_mean,test_f1_std,train_f1_mean,train_f1_std,feature,event
PCA-NWPTY,492,173,197,586,0.71,0.77,0.47582873,0.7398,0.7484,0.2279,0.5708,0.7445,0.7431,0.7267,0.4872,0.48,0.4882,0.2478,0.0105,0.0617,0.0003,0.7445,0.0268,0.9988,0.0005,0.7141,0.0351,0.9976,0.0011,0.7419,0.0383,1.0,0.0,0.8075,0.0257,1.0,0.0,0.7268,0.0267,0.9988,0.0005,PCA,NWPTY
PCA-FT,77,88,162,1121,0.32,0.93,0.16505525,0.4667,0.8737,0.0728,0.2355,0.8273,0.6247,0.3812,0.2914,0.25,0.3404,0.244,0.0115,0.062,0.0003,0.8274,0.0217,1.0,0.0,0.3228,0.1033,1.0,0.0,0.4626,0.106,1.0,0.0,0.7653,0.0448,1.0,0.0,0.3767,0.0996,1.0,0.0,PCA,FT
PCA-NE,262,185,207,794,0.56,0.81,0.32389503,0.5861,0.7932,0.189,0.4006,0.7293,0.6848,0.5721,0.3745,0.37,0.3793,0.2772,0.0087,0.0624,0.0022,0.7292,0.0384,1.0,0.0,0.5587,0.0804,1.0,0.0,0.5877,0.0633,1.0,0.0,0.7744,0.0507,1.0,0.0,0.5708,0.063,1.0,0.0,PCA,NE
PCA-SWF,286,85,107,970,0.73,0.92,0.27140884,0.7709,0.9006,0.0806,0.5983,0.8674,0.8236,0.7487,0.6592,0.65,0.6715,0.2107,0.0059,0.0619,0.0001,0.8674,0.0196,1.0,0.0,0.7278,0.0479,1.0,0.0,0.7725,0.0452,1.0,0.0,0.9341,0.019,1.0,0.0,0.7485,0.038,1.0,0.0,PCA,SWF
PCA-HRD,154,201,262,831,0.37,0.81,0.28729282,0.4338,0.7603,0.1948,0.2496,0.6802,0.5877,0.3995,0.1845,0.18,0.1941,0.2836,0.0101,0.0618,0.0002,0.6802,0.0197,0.9998,0.0003,0.3703,0.0561,0.9995,0.0011,0.4353,0.0401,1.0,0.0,0.6334,0.0504,1.0,0.0,0.3979,0.0421,0.9997,0.0005,PCA,HRD
PCA-HRH,235,213,280,720,0.46,0.77,0.35566298,0.5246,0.72,0.2283,0.3228,0.6595,0.614,0.4881,0.2361,0.23,0.2446,0.2678,0.0068,0.0617,0.0002,0.6595,0.0462,0.9987,0.0007,0.4561,0.0641,0.9963,0.0019,0.5264,0.0755,1.0,0.0,0.6622,0.0577,1.0,0.0,0.488,0.0664,0.9982,0.001,PCA,HRH
CAE-NWPTY,472,185,217,574,0.69,0.76,0.47582873,0.7184,0.7257,0.2437,0.54,0.7224,0.7207,0.7013,0.4427,0.45,0.4441,0.9345,0.1803,0.0619,0.0002,0.7224,0.0284,0.9816,0.0037,0.685,0.0356,0.9732,0.0046,0.721,0.0428,0.9879,0.0041,0.7868,0.029,0.9987,0.0003,0.7014,0.0274,0.9805,0.0039,CAE,NWPTY
CAE-FT,91,114,148,1095,0.38,0.91,0.16505525,0.4439,0.8809,0.0943,0.2578,0.8191,0.6432,0.4099,0.305,0.29,0.3248,0.8753,0.0611,0.0616,0.0002,0.8191,0.0246,0.9959,0.001,0.3813,0.077,0.9749,0.0063,0.4515,0.0871,1.0,0.0,0.7739,0.0406,1.0,0.0,0.4095,0.0686,0.9873,0.0032,CAE,FT
CAE-NE,271,197,198,782,0.58,0.8,0.32389503,0.5791,0.798,0.2012,0.4069,0.7272,0.6883,0.5784,0.3768,0.38,0.3771,1.0946,0.075,0.0619,0.0002,0.7271,0.0341,0.9892,0.0029,0.5779,0.057,0.9844,0.0063,0.5817,0.0565,0.9823,0.0051,0.792,0.039,0.9995,0.0001,0.5784,0.0487,0.9833,0.0046,CAE,NE
CAE-SWF,290,79,103,976,0.74,0.93,0.27140884,0.7859,0.9045,0.0749,0.6144,0.8743,0.8315,0.7612,0.6766,0.67,0.6904,0.7692,0.0778,0.0619,0.0001,0.8743,0.017,1.0,0.0,0.7382,0.0541,1.0,0.0,0.7888,0.0443,1.0,0.0,0.9404,0.0143,1.0,0.0,0.7607,0.0332,1.0,0.0,CAE,SWF
CAE-HRD,161,223,255,809,0.39,0.78,0.28729282,0.4193,0.7603,0.2161,0.252,0.6699,0.5855,0.4025,0.1752,0.17,0.1796,1.3228,0.0931,0.0622,0.0012,0.6699,0.034,0.9789,0.0023,0.3866,0.1001,0.9356,0.0077,0.4141,0.0752,0.9904,0.0028,0.6367,0.0494,0.9976,0.0007,0.3984,0.087,0.9622,0.0042,CAE,HRD
CAE-HRH,257,226,258,707,0.5,0.76,0.35566298,0.5321,0.7326,0.2422,0.3468,0.6657,0.6284,0.515,0.2607,0.26,0.2647,1.2555,0.0845,0.0617,0.0002,0.6658,0.0453,0.9785,0.0028,0.4989,0.0629,0.9476,0.0067,0.5342,0.0683,0.9917,0.0033,0.686,0.0473,0.9967,0.0005,0.515,0.0626,0.9691,0.0041,CAE,HRH
CVAE-NWPTY,315,387,374,372,0.46,0.49,0.47582873,0.4487,0.4987,0.5099,0.2928,0.4744,0.4737,0.4529,-0.0527,-0.05,-0.0526,0.1245,0.0018,0.0619,0.0001,0.4745,0.0378,1.0,0.0,0.4574,0.0492,1.0,0.0,0.4511,0.0358,1.0,0.0,0.4807,0.0481,1.0,0.0,0.4524,0.0317,1.0,0.0,CVAE,NWPTY
CVAE-FT,24,109,215,1100,0.1,0.91,0.16505525,0.1805,0.8365,0.0902,0.069,0.7762,0.5051,0.129,0.0132,0.01,0.017,0.1174,0.0043,0.0617,0.0001,0.7763,0.0181,1.0,0.0,0.1005,0.0752,1.0,0.0,0.1642,0.1168,1.0,0.0,0.4927,0.0352,1.0,0.0,0.1238,0.0903,1.0,0.0,CVAE,FT
CVAE-NE,121,298,348,681,0.26,0.7,0.32389503,0.2888,0.6618,0.3044,0.1578,0.5539,0.4768,0.2725,-0.0479,-0.04,-0.0494,0.124,0.0034,0.0618,0.0003,0.5539,0.0359,1.0,0.0,0.258,0.0548,1.0,0.0,0.2899,0.0472,1.0,0.0,0.453,0.0496,1.0,0.0,0.2713,0.0472,1.0,0.0,CVAE,NE
CVAE-SWF,77,240,316,815,0.2,0.77,0.27140884,0.2429,0.7206,0.2275,0.1216,0.616,0.4842,0.2169,-0.0339,-0.03,-0.0365,0.1199,0.0028,0.0617,0.0001,0.616,0.0406,1.0,0.0,0.1962,0.0454,1.0,0.0,0.2473,0.058,1.0,0.0,0.4919,0.062,1.0,0.0,0.2173,0.048,1.0,0.0,CVAE,SWF
CVAE-HRD,96,247,320,785,0.23,0.76,0.28729282,0.2799,0.7104,0.2393,0.1448,0.6084,0.4957,0.253,-0.0091,-0.01,-0.0097,0.1201,0.0038,0.0618,0.0009,0.6084,0.0237,1.0,0.0,0.2306,0.0313,1.0,0.0,0.281,0.0368,1.0,0.0,0.5035,0.0372,1.0,0.0,0.2526,0.0317,1.0,0.0,CVAE,HRD
CVAE-HRH,180,303,335,630,0.35,0.68,0.35566298,0.3727,0.6528,0.3248,0.22,0.5594,0.5124,0.3607,0.0251,0.03,0.0255,0.1202,0.0032,0.0616,0.0001,0.5594,0.0265,1.0,0.0,0.3495,0.0581,1.0,0.0,0.3716,0.0457,1.0,0.0,0.5318,0.0414,1.0,0.0,0.3594,0.05,1.0,0.0,CVAE,HRH
Pretrained-BigEarth-NWPTY,499,156,190,603,0.72,0.79,0.47582873,0.7618,0.7604,0.2055,0.5905,0.761,0.7594,0.7426,0.5205,0.51,0.5222,0.6595,0.0803,0.0619,0.0002,0.7611,0.0385,0.9276,0.0037,0.7243,0.0633,0.901,0.0067,0.7624,0.0382,0.9442,0.0025,0.8384,0.036,0.9815,0.0011,0.7417,0.0453,0.9221,0.0042,Pretrained-BigEarth,NWPTY
Pretrained-BigEarth-FT,28,37,211,1172,0.12,0.97,0.16505525,0.4308,0.8474,0.0306,0.1014,0.8287,0.5433,0.1842,0.1552,0.09,0.2782,0.6602,0.0568,0.0579,0.0114,0.8287,0.0151,0.9039,0.004,0.1168,0.061,0.424,0.0244,0.4833,0.2181,0.986,0.0083,0.655,0.0658,0.9828,0.0011,0.1784,0.0828,0.5925,0.0241,Pretrained-BigEarth,FT
Pretrained-BigEarth-NE,237,165,232,814,0.51,0.83,0.32389503,0.5896,0.7782,0.1685,0.3738,0.7258,0.6684,0.5442,0.3519,0.34,0.3678,0.5632,0.0537,0.0615,0.0001,0.7258,0.0392,0.9095,0.0053,0.5053,0.044,0.8012,0.0101,0.5947,0.0793,0.9085,0.0122,0.7632,0.0455,0.9693,0.0017,0.5452,0.0544,0.8515,0.0086,Pretrained-BigEarth,NE
Pretrained-BigEarth-SWF,257,127,136,928,0.65,0.88,0.27140884,0.6693,0.8722,0.1204,0.4942,0.8184,0.7668,0.6615,0.5375,0.53,0.5415,0.6325,0.0486,0.0616,0.0004,0.8183,0.0302,0.9662,0.003,0.6537,0.0984,0.9364,0.0073,0.6724,0.0598,0.9388,0.0051,0.9014,0.024,0.9938,0.0005,0.6585,0.0692,0.9376,0.0056,Pretrained-BigEarth,SWF
Pretrained-BigEarth-HRD,77,135,339,897,0.19,0.87,0.28729282,0.3632,0.7257,0.1308,0.1397,0.6727,0.5271,0.2452,0.0695,0.06,0.0889,0.8143,0.0548,0.0616,0.0003,0.6726,0.0228,0.8752,0.0045,0.185,0.0421,0.6039,0.0149,0.3654,0.0772,0.9402,0.0095,0.5736,0.0495,0.9609,0.0015,0.2441,0.0511,0.7353,0.0115,Pretrained-BigEarth,HRD
